,Please Forgive Me_Bryan Adams
0,still
1,feels
2,like
3,first
4,night
5,together
6,feels
7,like
8,first
9,kiss
10,gettin'
11,better
12,baby
13,one
14,better
15,still
16,holdin'
17,still
18,one
19,first
20,time
21,eyes
22,met
23,-
24,feeling
25,get
26,feels
27,much
28,stronger
29,-
30,wanna
31,love
32,longer
33,still
34,turn
35,fire
36,pre-chorus
37,feelin'
38,lonely
39,one
40,ever
41,want
42,wanna
43,make
44,good
45,love
46,little
47,please
48,forgive
49,-
50,know
51,please
52,forgive
53,-
54,can't
55,stop
56,loving
57,deny
58,-
59,pain
60,i'm
61,going
62,please
63,forgive
64,-
65,need
66,ya
67,like
68,please
69,believe
70,-
71,every
72,word
73,say
74,true
75,please
76,forgive
77,-
78,can't
79,stop
80,loving
81,still
82,feels
83,like
84,best
85,times
86,together
87,feels
88,like
89,first
90,touch
91,we're
92,still
93,gettin'
94,closer
95,baby
96,can't
97,get
98,close
99,enough
100,i'm
101,still
102,holdin'
103,-
104,still
105,number
106,one
107,remember
108,smell
109,skin
110,remember
111,everything
112,remember
113,moves
114,-
115,remember
116,yeah
117,remember
118,night
119,-
120,know
121,still
122,pre-chorus
123,feelin'
124,lonely
125,one
126,ever
127,want
128,wanna
129,make
130,good
131,love
132,little
133,please
134,forgive
135,-
136,know
137,please
138,forgive
139,-
140,can't
141,stop
142,loving
143,deny
144,-
145,pain
146,i'm
147,going
148,please
149,forgive
150,-
151,need
152,ya
153,like
154,oh
155,believe
156,-
157,every
158,word
159,say
160,true
161,please
162,forgive
163,-
164,can't
165,stop
166,loving
167,bridge
168,one
169,thing
170,i'm
171,sure
172,-
173,way
174,make
175,love
176,one
177,thing
178,depend
179,us
180,stay
181,strong
182,every
183,word
184,every
185,breath
186,i'm
187,prayin'
188,that's
189,i'm
190,sayin'
191,please
192,forgive
193,-
194,know
195,please
196,forgive
197,-
198,can't
199,stop
200,loving
201,deny
202,-
203,pain
204,i'm
205,going
206,please
207,forgive
208,-
209,need
210,like
211,babe
212,believe
213,-
214,every
215,word
216,say
217,true
218,please
219,forgive
220,-
221,can't
222,stop
223,loving
224,never
225,leave
226,-
227,know
228,please
229,forgive
230,-
231,can't
232,stop
233,loving
234,outro
235,can't
236,stop
237,loving
