,L.O.V.E._Ashlee Simpson
0,i'm
1,talkin'
2,'bout
3,love
4,my
5,girls
6,stand
7,circle
8,clap
9,your
10,hands
11,you
12,up's
13,downs
14,highs
15,lows
16,matter
17,you
18,see
19,me
20,prechorus
21,my
22,boyfriend
23,he
24,answer
25,telephone
26,i
27,even
28,know
29,hell
30,he
31,goes
32,my
33,girls
34,we're
35,circle
36,nobody's
37,gonna
38,break
39,lolololove
40,lololo
41,oh
42,you
43,hear
44,me
45,say
46,lolololove
47,lololo
48,oh
49,you
50,hear
51,me
52,say
53,lolololove
54,lololo
55,i'm
56,talkin'
57,'bout
58,lolololove
59,lololo
60,postchorus
61,i'm
62,talking'
63,bout
64,love
65,say
66,you'll
67,my
68,girls
69,life
70,girls
71,life
72,oh
73,hold
74,i
75,need
76,another
77,one
78,i
79,think
80,you
81,you
82,grab
83,my
84,bag
85,got
86,my
87,money
88,need
89,man
90,room
91,prechorus
92,my
93,boyfriend
94,he'll
95,calling
96,me
97,anytime
98,i
99,need
100,my
101,girls
102,keep
103,him
104,my
105,mind
106,hold
107,need
108,another
109,one
110,got
111,good
112,lolololove
113,lololo
114,oh
115,you
116,hear
117,me
118,say
119,lolololove
120,lololo
121,oh
122,you
123,hear
124,me
125,say
126,lolololove
127,lololo
128,i'm
129,talkin'
130,'bout
131,lolololove
132,lololo
133,i'm
134,talkin'
135,'bout
136,love
137,love
138,energy
139,love
140,mystery
141,love
142,meant
143,true
144,love
145,part
146,me
147,love
148,heart
149,me
150,love
151,best
152,thing
153,breakdown
154,i'm
155,talkin'
156,'bout
157,love
158,lolololove
159,lololo
160,oh
161,you
162,hear
163,me
164,say
165,lolololove
166,lololo
167,you
168,hear
169,me
170,say
171,lolololove
172,lololo
173,i'm
174,talkin'
175,'bout
176,lolololove
177,lololo
178,i'm
179,talkin'
180,'bout
181,love
182,lolololove
183,lololo
184,oh
185,you
186,hear
187,me
188,say
189,lolololove
190,lololo
191,you
192,hear
193,me
194,say
195,lolololove
196,lololo
197,i'm
198,talkin'
199,'bout
200,lolololove
201,lololo
202,i'm
203,talking'
204,bout
205,i'm
206,talking'
207,bout
208,i'm
209,talking'
210,bout
211,love
