,Song Name,Artist,Words count,Year,Bin
0,The Scientist,Coldplay,125,2002,2000s
1,Yellow,Coldplay,136,2000,2000s
2,Fix You,Coldplay,133,2005,2000s
3,Chasing Cars,Snow Patrol,112,2006,2000s
4,I'm Yours,Jason Mraz,280,2008,2000s
5,I Will Follow You Into The Dark,Death Cab for Cutie,132,2006,2000s
6,How to Save a Life,The Fray,228,2005,2000s
7,She Will Be Loved,Maroon 5,200,2002,2000s
8,Such Great Heights,The Postal Service,139,2003,2000s
9,Skinny Love,Bon Iver,125,2007,2000s
10,Somewhere Only We Know,Keane,154,2004,2000s
11,This Love,Maroon 5,182,2002,2000s
12,Best I Ever Had,Drake,560,2009,2000s
13,I MISS YOU,blink-182,238,2004,2000s
14,Here Without You,3 Doors Down,170,2002,2000s
15,Halo,Beyoncé,325,2009,2000s
16,The Reason,Hoobastank,127,2003,2000s
17,Hey There Delilah,Plain White T's,212,2006,2000s
18,All I Need,Radiohead,65,2007,2000s
19,Heartbeats,José González,86,2003,2000s
20,Better Together,Jack Johnson,176,2005,2000s
21,My Immortal,Evanescence,154,2003,2000s
22,You've Got the Love,Florence + the Machine,179,2009,2000s
23,Maps,Yeah Yeah Yeahs,141,2003,2000s
24,House of Cards,Radiohead,73,2007,2000s
25,You're Beautiful,James Blunt,125,2005,2000s
26,Bleeding Love,Leona Lewis,272,2007,2000s
27,Home,Edward Sharpe & The Magnetic Zeros,312,2009,2000s
28,Digital Love,Daft Punk,90,2001,2000s
29,Chasing Pavements,Adele,163,2008,2000s
30,Banana Pancakes,Jack Johnson,196,2005,2000s
31,Something About Us,Daft Punk,59,2001,2000s
32,Love Is a Losing Game,Amy Winehouse,74,2007,2000s
33,Green Eyes,Coldplay,99,2002,2000s
34,Breathe Me,Sia,80,2004,2000s
35,Love Lockdown,Kanye West,282,2008,2000s
36,Fidelity,Regina Spektor,210,2006,2000s
37,"Hey, Soul Sister",Train,217,2009,2000s
38,Run,Snow Patrol,139,2004,2000s
39,Strawberry Swing,Coldplay,103,2008,2000s
40,Heart Skipped a Beat,The xx,160,2009,2000s
41,First Day of My Life,Bright Eyes,146,2005,2000s
42,Make You Feel My Love,Adele,123,2008,2000s
43,Love Song,Sara Bareilles,279,2007,2000s
44,Naked As We Came,Iron & Wine,60,2004,2000s
45,Warning Sign,Coldplay,123,2002,2000s
46,Open Your Eyes,Snow Patrol,160,2007,2000s
47,Sparks,Coldplay,98,2000,2000s
48,Come Away with Me,Norah Jones,70,2002,2000s
49,This Modern Love,Bloc Party,172,2005,2000s
50,Cosmic Love,Florence + the Machine,117,2009,2000s
51,Unfaithful,Rihanna,215,2006,2000s
52,No One,Alicia Keys,181,2007,2000s
53,Samson,Regina Spektor,173,2002,2000s
54,If I Were a Boy,Beyoncé,197,2008,2000s
55,Cannonball,Damien Rice,138,2002,2000s
56,Love Story,Taylor Swift,234,2008,2000s
57,Where Is the Love,Black Eyed Peas,401,2003,2000s
58,Bubbly,Colbie Caillat,205,2007,2000s
