,Rank,Song Name,Artist,Duration,Album
0,1,Wonderwall,Oasis,259,(What's the Story) Morning Glory?
1,2,The Scientist,Coldplay,309,A Rush of Blood to the Head
2,3,Yellow,Coldplay,267,Parachutes
3,4,Fix You,Coldplay,294,X&Y
4,5,Chasing Cars,Snow Patrol,0,Eyes Open
5,6,Iris,Goo Goo Dolls,289,Dizzy Up the Girl
6,7,I'm Yours,Jason Mraz,242,I'm Yours
7,8,I Will Follow You Into The Dark,Death Cab for Cutie,0,Plans
8,9,How to Save a Life,The Fray,290,How to Save a Life
9,10,Love Will Tear Us Apart,Joy Division,0,Die Kalten Winde Des Winters
10,11,She Will Be Loved,Maroon 5,379,Songs About Jane
11,12,Such Great Heights,The Postal Service,262,Give Up
12,13,Skinny Love,Bon Iver,239,"For Emma, Forever Ago"
13,14,Fake Plastic Trees,Radiohead,285,The Bends
14,15,Friday I'm in Love,The Cure,214,Greatest Hits
15,16,Somewhere Only We Know,Keane,234,Hopes and Fears
16,17,This Love,Maroon 5,0,Songs About Jane
17,18,Best I Ever Had,Drake,257,So Far Gone
18,19,I MISS YOU,blink-182,227,
19,20,Here Without You,3 Doors Down,235,Away from the Sun
20,21,Someone Like You,Adele,283,21
21,22,Don't Speak,No Doubt,304,The Singles 1992-2003
22,23,Just Like Heaven,The Cure,0,Greatest Hits
23,24,Halo,Beyoncé,262,I Am... Sasha Fierce
24,25,With or Without You,U2,296,The Joshua Tree
25,26,The Reason,Hoobastank,231,Is This The Day?
26,27,Hey There Delilah,Plain White T's,233,All That We Needed
27,28,All I Need,Radiohead,261,In Rainbows
28,29,Heartbeats,José González,0,Heartbeats
29,30,Better Together,Jack Johnson,253,In Between Dreams
30,31,My Immortal,Evanescence,0,Fallen
31,32,You've Got the Love,Florence + the Machine,167,Lungs
32,33,Maps,Yeah Yeah Yeahs,0,Fever To Tell
33,34,Hallelujah,Jeff Buckley,256,Grace
34,35,Set Fire to the Rain,Adele,239,21
35,36,House of Cards,Radiohead,352,In Rainbows
36,37,I Don't Want to Miss a Thing,Aerosmith,299,Armageddon
37,38,You're Beautiful,James Blunt,214,Back to Bedlam
38,39,Bleeding Love,Leona Lewis,260,Spirit
39,40,One,U2,277,Achtung Baby
40,41,Home,Edward Sharpe & The Magnetic Zeros,302,
41,42,All You Need Is Love,The Beatles,228,Magical Mystery Tour
42,43,Digital Love,Daft Punk,298,Discovery
43,44,Ho Hey,The Lumineers,163,The Lumineers
44,45,Lovesong,The Cure,211,Disintegration
45,46,Chasing Pavements,Adele,210,19
46,47,Something,The Beatles,159,Abbey Road
47,48,There Is a Light That Never Goes Out,The Smiths,242,The Queen Is Dead
48,49,Banana Pancakes,Jack Johnson,186,In Between Dreams
49,50,Something About Us,Daft Punk,232,Discovery
50,51,We Found Love (feat. Calvin Harris),Rihanna,215,Talk That Talk
51,52,Love Is a Losing Game,Amy Winehouse,156,Back to Black
52,53,Green Eyes,Coldplay,0,A Rush of Blood to the Head
53,54,Linger,The Cranberries,297,"Everybody Else Is Doing It, So Why Can't We?"
54,55,Breathe Me,Sia,189,Colour the Small One
55,56,Love Lockdown,Kanye West,270,808s & Heartbreak
56,57,Fidelity,Regina Spektor,214,Begin to Hope
57,58,"Hey, Soul Sister",Train,405,"Save Me, San Francisco"
58,59,Run,Snow Patrol,346,Final Straw
59,60,Strawberry Swing,Coldplay,249,Viva la Vida or Death and All His Friends
60,61,Somebody to Love,Queen,473,Greatest Hits
61,62,Just the Way You Are,Bruno Mars,217,Doo-Wops & Hooligans
62,63,Heart Skipped a Beat,The xx,242,xx
63,64,First Day of My Life,Bright Eyes,183,First Day of My Life
64,65,Your Song,Elton John,240,Greatest Hits
65,66,Make You Feel My Love,Adele,212,19
66,67,Love Song,Sara Bareilles,234,Little Voice
67,68,Naked As We Came,Iron & Wine,175,
68,69,Warning Sign,Coldplay,0,A Rush of Blood to the Head
69,70,Open Your Eyes,Snow Patrol,341,Eyes Open
70,71,Sparks,Coldplay,269,Parachutes
71,72,Kiss Me,Sixpence None the Richer,206,Sixpence None the Richer
72,73,Let's Stay Together,Al Green,196,Let's Stay Together
73,74,Come Away with Me,Norah Jones,200,Come Away with Me
74,75,Lovefool,The Cardigans,198,Best Of
75,76,This Modern Love,Bloc Party,265,Silent Alarm
76,77,Cosmic Love,Florence + the Machine,292,Lungs
77,78,Love Me Do,The Beatles,142,Please Please Me
78,79,Wouldn't It Be Nice,The Beach Boys,145,Stack-O-Tracks
79,80,I Want to Hold Your Hand,The Beatles,146,1
80,81,Your Love Is My Drug,Ke$ha,188,Animal
81,82,Can't Buy Me Love,The Beatles,133,1
82,83,Unfaithful,Rihanna,229,A Girl Like Me
83,84,No One,Alicia Keys,246,As I Am
84,85,Samson,Regina Spektor,227,Begin to Hope
85,86,If I Were a Boy,Beyoncé,251,Knuffelrock 2012 - Jubileum-Editie
86,87,Cannonball,Damien Rice,247,O
87,88,Wherever You Will Go,The Calling,208,Camino Palmero
88,89,Love Story,Taylor Swift,233,Fearless
89,90,Where Is the Love,Black Eyed Peas,515,Elephunk
90,91,Thinkin Bout You,Frank Ocean,203,channel ORANGE
91,92,Bubbly,Colbie Caillat,198,Coco
92,93,Breakeven,The Script,261,The Script
93,94,Pictures of You,The Cure,476,Disintegration
94,95,A Message,Coldplay,285,X&Y
95,96,My Girl,The Temptations,177,The Ultimate Collection
96,97,Thank You,Dido,218,Greatest Hits
97,98,Let Me Love You,Mario,256,Turning Point
98,99,In the Aeroplane Over the Sea,Neutral Milk Hotel,216,In the Aeroplane Over the Sea
99,100,Stand By Me,Ben E. King,179,Stand by Me
100,101,Apologize,OneRepublic,354,Dreaming Out Loud
101,102,Far Away,Nickelback,0,All The Right Reasons
102,103,Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off,Panic! at the Disco,200,A Fever You Can't Sweat Out
103,104,Such Great Heights,Iron & Wine,256,
104,105,A Rush of Blood to the Head,Coldplay,416,A Rush of Blood to the Head
105,106,Apologize,Timbaland,185,Apologize
106,107,Nothing Better,The Postal Service,226,Give Up
107,108,Your Body Is a Wonderland,John Mayer,249,Room for Squares
108,109,Wonderful Tonight,Eric Clapton,0,The Cream of Clapton
109,110,Goodbye My Lover,James Blunt,256,Back to Bedlam
110,111,Love The Way You Lie,Eminem,0,Recovery
111,112,Falling Away With You,Muse,280,Absolution
112,113,Marching Bands of Manhattan,Death Cab for Cutie,252,Plans
113,114,Re: Stacks,Bon Iver,401,"For Emma, Forever Ago"
114,115,You Found Me,The Fray,242,The Fray
115,116,The Man Who Can't Be Moved,The Script,240,The Script
116,117,The Only Exception,Paramore,267,Brand New Eyes
117,118,Crown of Love,Arcade Fire,0,Funeral
118,119,Replay,Iyaz,182,Replay
119,120,To Be Alone With You,Sufjan Stevens,165,Seven Swans
120,121,If I Ever Feel Better,Phoenix,268,United
121,122,With You,Chris Brown,252,Exclusive
122,123,Forever,Chris Brown,277,Exclusive: The Forever Edition
123,124,She Loves You,The Beatles,136,1
124,125,Young and Beautiful,Lana Del Rey,235,The Dome: Summer 2013
125,126,Meet Me Halfway,Black Eyed Peas,0,The E.N.D. (The Energy Never Dies)
126,127,A Thousand Miles,Vanessa Carlton,235,Be Not Nobody
127,128,Swallowed in the Sea,Coldplay,238,X&Y
128,129,Stop Crying Your Heart Out,Oasis,303,Heathen Chemistry
129,130,A Lack of Color,Death Cab for Cutie,216,Transatlanticism
130,131,Eight Days a Week,The Beatles,165,Beatles for Sale
131,132,Your Heart Is an Empty Room,Death Cab for Cutie,219,Plans
132,133,Is This Love,Bob Marley & The Wailers,233,
133,134,God Only Knows,The Beach Boys,169,Summer Dreams
134,135,Off to the Races,Lana Del Rey,300,Born to Die - The Paradise Edition
135,136,Jar of Hearts,Christina Perri,247,Jar of Hearts
136,137,9 Crimes,Damien Rice,219,9
137,138,Nothing Compares 2 U,Sinéad O'Connor,280,I Do Not Want What I Haven't Got
138,139,Wish You Were Here,Incubus,247,Monuments And Melodies
139,140,Blood Bank,Bon Iver,284,Blood Bank
140,141,The Blower's Daughter,Damien Rice,284,O
141,142,No One's Gonna Love You,Band of Horses,235,Acoustic At The Ryman
142,143,Ocean Avenue,Yellowcard,0,Ocean Avenue
143,144,Always,blink-182,251,blink-182
144,145,"Flightless Bird, American Mouth",Iron & Wine,243,
145,146,Bridge over Troubled Water,Simon & Garfunkel,0,
146,147,I Will Always Love You,Whitney Houston,274,The Bodyguard
147,148,Take a Bow,Rihanna,228,Take a Bow
148,149,You Belong with Me,Taylor Swift,231,Fearless
149,150,Need You Now,Lady Antebellum,235,Need You Now
150,151,Thinking Out Loud,Ed Sheeran,280,x
151,152,In My Life,The Beatles,147,Rubber Soul
152,153,Transatlanticism,Death Cab for Cutie,475,Transatlanticism
153,154,Kiss from a Rose,Seal,309,Seal II
154,155,Endlessly,Muse,228,Absolution
155,156,The Ghost of You,My Chemical Romance,0,Three Cheers for Sweet Revenge
156,157,My Love,Justin Timberlake,278,Greatest Hits
157,158,Clark Gable,The Postal Service,296,Give Up
158,159,You Could Be Happy,Snow Patrol,182,Eyes Open
159,160,Here with Me,Dido,255,No Angel
