,Tonight_Lykke Li
0,watch
1,back
2,i'll
3,make
4,sure
5,right
6,behind
7,yesterday
8,night
9,tomorrow
10,dry
11,eyes
12,know
13,dry
14,eyes
15,show
16,know
17,right
18,behind
19,let
20,go
21,let
22,go
23,tonight
24,let
25,go
26,let
27,go
28,tonight
29,let
30,go
31,let
32,go
33,tonight
34,let
35,go
36,let
37,go
38,tonight
39,let
40,go
41,let
42,go
43,tonight
44,let
45,go
46,let
47,go
48,tonight
49,walk
50,surface
51,town
52,high
53,heels
54,ground
55,high
56,horses
57,know
58,keep
59,us
60,safe
61,night
62,know
63,know
64,stay
65,put
66,play
67,along
68,cause
69,i'm
70,looking
71,friend
72,got
73,got
74,let
75,go
76,let
77,go
78,tonight
79,let
80,go
81,let
82,go
83,tonight
84,let
85,go
86,let
87,go
88,tonight
89,let
90,go
91,let
92,go
93,tonight
94,let
95,go
96,let
97,go
98,tonight
99,let
100,go
101,let
102,go
103,tonight
104,let
105,go
106,let
107,go
108,tonight
109,let
110,go
111,let
112,go
113,tonight
114,let
115,go
116,let
117,go
118,tonight
119,dry
120,eye
121,dry
122,eye
123,falling
124,deeper
125,hour
126,dry
127,eye
128,dry
129,eye
130,dry
131,eye
132,let
133,fall
134,deeper
135,dry
136,eye
137,let
138,go
139,let
140,go
141,tonight
142,let
143,go
144,let
145,go
146,tonight
147,let
148,go
149,let
150,go
151,tonight
152,let
153,go
154,let
155,go
156,tonight
157,let
158,go
159,let
160,go
161,tonight
162,let
163,go
164,let
165,go
166,tonight
167,let
168,go
169,let
170,go
171,tonight
172,let
173,go
174,let
175,go
176,tonight
177,let
178,go
179,let
180,go
181,tonight
182,let
183,go
184,let
185,go
186,tonight
187,let
188,go
189,let
190,go
191,tonight
192,let
193,go
194,let
195,go
196,tonight
197,interlude
198,let
199,go
200,let
201,go
202,let
203,go
204,let
205,go
206,let
207,go
208,let
209,go
210,tonight
211,let
212,go
213,let
214,go
215,tonight
216,let
217,go
218,let
219,go
220,tonight
