,Love Ridden_Fiona Apple
0,love
1,ridden
2,i've
3,looked
4,focus
5,gave
6,birthday
7,candles
8,i've
9,wished
10,lidded
11,blue
12,flames
13,brow
14,baby
15,wished
16,nobody
17,sees
18,lyin'
19,bed
20,wanna
21,crawl
22,cry
23,instead
24,want
25,warm
26,make
27,colder
28,can't
29,tonight
30,baby
31,baby
32,anymore
33,need
34,i'll
35,use
36,simple
37,name
38,kisses
39,cheek
40,little
41,we'll
42,wave
43,hand
44,hold
45,path
46,clear
47,follow
48,stood
49,long
50,way
51,door
52,i'm
53,giving
54,baby
55,anymore
56,need
57,i'll
58,use
59,simple
60,name
61,kisses
62,cheek
63,little
64,we'll
65,wave
66,baby
67,anymore
68,need
69,i'll
70,use
71,simple
72,name
73,kisses
74,cheek
75,little
76,we'll
77,wave
