,I Want to Hold Your Hand_The Beatles
0,paul
1,mccartney
2,john
3,lennon
4,oh
5,yeah
6,i'll
7,tell
8,something
9,think
10,understand
11,i'll
12,say
13,something
14,want
15,hold
16,hand
17,paul
18,mccartney
19,john
20,lennon
21,want
22,hold
23,hand
24,want
25,hold
26,hand
27,paul
28,mccartney
29,john
30,lennon
31,oh
32,please
33,say
34,let
35,man
36,please
37,say
38,let
39,hold
40,hand
41,paul
42,mccartney
43,john
44,lennon
45,let
46,hold
47,hand
48,want
49,hold
50,hand
51,paul
52,mccartney
53,john
54,lennon
55,touch
56,feel
57,happy
58,inside
59,feeling
60,love
61,can't
62,hide
63,can't
64,hide
65,can't
66,hide
67,paul
68,mccartney
69,john
70,lennon
71,yeah
72,got
73,something
74,think
75,understand
76,i'll
77,say
78,something
79,want
80,hold
81,hand
82,paul
83,mccartney
84,john
85,lennon
86,want
87,hold
88,hand
89,want
90,hold
91,hand
92,paul
93,mccartney
94,john
95,lennon
96,touch
97,feel
98,happy
99,inside
100,feeling
101,love
102,can't
103,hide
104,can't
105,hide
106,can't
107,hide
108,paul
109,mccartney
110,john
111,lennon
112,yeah
113,got
114,something
115,think
116,understand
117,feel
118,something
119,want
120,hold
121,hand
122,paul
123,mccartney
124,john
125,lennon
126,want
127,hold
128,hand
129,want
130,hold
131,hand
132,want
133,hold
134,hand
