,My Love_Justin Timberlake
0,justin
1,timberlake
2,ain't
3,another
4,woman
5,take
6,spot
7,my—
8,justin
9,timberlake
10,wrote
11,symphony
12,say
13,much
14,mean
15,would
16,told
17,beautiful
18,would
19,date
20,regular
21,tell
22,would
23,well
24,baby
25,i've
26,around
27,world
28,ain't
29,seen
30,another
31,girl
32,like
33,ring
34,represents
35,heart
36,there's
37,one
38,thing
39,need
40,saying
41,justin
42,timberlake
43,timbaland
44,see
45,us
46,holdin'
47,hands
48,walkin'
49,beach
50,toes
51,sand
52,see
53,us
54,country
55,side
56,sittin'
57,grass
58,layin'
59,side
60,side
61,baby
62,let
63,make
64,lady
65,girl
66,amaze
67,ain't
68,gotta
69,nothin'
70,crazy
71,see
72,want
73,love
74,give
75,away
76,love
77,give
78,away
79,love
80,give
81,away
82,ain't
83,another
84,woman
85,could
86,take
87,spot
88,love
89,give
90,away
91,love
92,give
93,away
94,love
95,give
96,away
97,ain't
98,another
99,woman
100,could
101,take
102,spot
103,love
104,love
105,girl
106,love
107,love
108,justin
109,timberlake
110,wrote
111,love
112,note
113,made
114,smile
115,every
116,word
117,wrote
118,would
119,would
120,make
121,wanna
122,change
123,scene
124,wanna
125,one
126,team
127,tell
128,would
129,see
130,what's
131,point
132,waitin'
133,anymore
134,'cause
135,girl
136,i've
137,never
138,sure
139,baby
140,ring
141,represents
142,heart
143,everything
144,waitin'
145,say
146,justin
147,timberlake
148,timbaland
149,see
150,us
151,holdin'
152,hands
153,walkin'
154,beach
155,toes
156,sand
157,see
158,us
159,country
160,side
161,sittin'
162,grass
163,layin'
164,side
165,side
166,baby
167,let
168,make
169,lady
170,girl
171,amaze
172,ain't
173,gotta
174,nothin'
175,crazy
176,see
177,want
178,love
179,give
180,away
181,love
182,give
183,away
184,love
185,give
186,away
187,ain't
188,another
189,woman
190,could
191,take
192,spot
193,love
194,give
195,away
196,love
197,give
198,away
199,love
200,give
201,away
202,ain't
203,another
204,woman
205,could
206,take
207,spot
208,love
209,love
210,love
211,love
212,interlude
213,ti
214,aight
215,time
216,get
217,jt
218,know
219,hesitatin'
220,man
221,ay
222,ay
223,ay
224,ti
225,shawty
226,cool
227,fan
228,move
229,ay
230,still
231,fans
232,peru
233,japan
234,hey
235,listen
236,baby
237,wanna
238,ruin
239,plan
240,nah
241,got
242,man
243,try
244,lose
245,'cause
246,girls
247,worldwide
248,throw
249,hands
250,high
251,wanna
252,come
253,kick
254,standup
255,guy
256,really
257,wanna
258,let
259,chance
260,go
261,'cause
262,ain't
263,seen
264,man
265,fly
266,babe
267,friends
268,fly
269,go
270,fly
271,private
272,'cause
273,handle
274,bi
275,call
276,candle
277,guy
278,simply
279,'cause
280,fire
281,haha
282,hate
283,cancel
284,vacation
285,can't
286,deny
287,i'm
288,patient
289,ain't
290,gon'
291,try
292,nah
293,come
294,ain't
295,gon'
296,die
297,hold
298,mean
299,can't
300,go
301,boyfriend
302,ain't
303,tie
304,uhhuh
305,say
306,wanna
307,kick
308,ain't
309,high
310,man
311,baby
312,obvious
313,ain't
314,yo'
315,guy
316,ain't
317,gon'
318,lie
319,i'll
320,fill
321,space
322,forget
323,face
324,swear
325,st
326,barths
327,anguilla
328,anywhere
329,chill
330,nice
331,bring
332,pair
333,c'mon
334,justin
335,timberlake
336,see
337,us
338,holdin'
339,hands
340,walkin'
341,beach
342,toes
343,sand
344,see
345,us
346,country
347,side
348,sittin'
349,grass
350,layin'
351,side
352,side
353,baby
354,let
355,make
356,lady
357,girl
358,amaze
359,ain't
360,gotta
361,nothin'
362,crazy
363,see
364,want
365,love
366,love
367,love
368,love
369,love
370,love
371,ain't
372,another
373,woman
374,could
375,take
376,spot
377,love
378,love
379,love
380,love
381,love
382,love
383,ain't
384,another
385,woman
386,could
387,take
388,spot
389,love
390,love
391,love
392,love
393,love
