,Change The World_Eric Clapton
0,could
1,reach
2,stars
3,pull
4,one
5,shine
6,heart
7,could
8,see
9,truth
10,love
11,inside
12,everything
13,seems
14,find
15,dreams
16,change
17,world
18,sunlight
19,universe
20,would
21,think
22,love
23,really
24,something
25,good
26,baby
27,could
28,change
29,world
30,could
31,king
32,even
33,day
34,i'd
35,take
36,queen
37,i'd
38,way
39,love
40,would
41,rule
42,kingdom
43,made
44,'til
45,i'd
46,fool
47,wishing
48,day
49,change
50,world
51,would
52,sunlight
53,universe
54,would
55,think
56,love
57,really
58,something
59,good
60,baby
61,could
62,change
63,world
64,baby
65,could
66,change
67,world
68,could
69,change
70,world
71,would
72,sunlight
73,universe
74,would
75,think
76,love
77,really
78,something
79,good
80,baby
81,could
82,change
83,world
84,baby
85,could
86,change
87,world
88,baby
89,could
90,change
91,world
