,Unison_Björk
0,one
1,hand
2,loves
3,much
4,born
5,stubborn
6,always
7,count
8,grown
9,private
10,branch
11,tree
12,gardener
13,discipliner
14,domestically
15,obey
16,rules
17,still
18,prechorus
19,never
20,thought
21,would
22,compromise
23,never
24,thought
25,would
26,compromise
27,never
28,thought
29,would
30,compromise
31,let's
32,unite
33,tonight
34,fight
35,embrace
36,tight
37,let's
38,unite
39,tonight
40,thrive
41,best
42,hermit
43,style
44,beard
45,pipe
46,parrot
47,side
48,can't
49,without
50,prechorus
51,never
52,thought
53,would
54,compromise
55,never
56,thought
57,would
58,compromise
59,never
60,thought
61,would
62,compromise
63,let's
64,unite
65,tonight
66,fight
67,embrace
68,tight
69,let's
70,unite
71,tonight
72,one
73,hand
74,loves
75,much
76,let's
77,unite
78,tonight
79,fight
80,embrace
81,tight
82,let's
83,unite
84,tonight
85,let's
86,unite
87,tonight
88,fight
89,embrace
90,tight
91,let's
92,ahhh
93,unison
94,unison
95,unison
