,The White Lady Loves You More_Elliott Smith
0,keep
1,things
2,place
3,meant
4,hide
5,know
6,they're
7,somewhere
8,know
9,that's
10,go
11,tonight
12,i'll
13,thrown
14,like
15,white
16,lady
17,loves
18,need
19,metal
20,man
21,pick
22,feet
23,long
24,time
25,since
26,cared
27,enough
28,even
29,discreet
30,know
31,metal
32,white
33,lady
34,loves
35,i'm
36,looking
37,hand
38,full
39,broken
40,plans
41,i'm
42,tired
43,playing
44,want
45,anything
46,ain't
47,nothing
48,allow
49,wake
50,middle
51,night
52,dream
53,remember
54,flashing
55,like
56,cop's
57,light
58,say
59,waiting
60,know
61,white
62,lady
63,loves
64,white
65,lady
