,Motorcycle Drive By_Third Eye Blind
0,stephan
1,jenkins
2,summer
3,time
4,wind
5,blowing
6,outside
7,lower
8,chelsea
9,know
10,i'm
11,city
12,sun
13,always
14,eyes
15,crashes
16,windows
17,i'm
18,sleeping
19,couch
20,came
21,visit
22,that's
23,knew
24,could
25,never
26,knew
27,still
28,i'm
29,one
30,who's
31,stupid
32,stephan
33,jenkins
34,there's
35,burning
36,like
37,there's
38,always
39,never
40,alone
41,i've
42,never
43,alive
44,stephan
45,jenkins
46,visions
47,motorcycle
48,drive
49,cigarette
50,ash
51,flies
52,eyes
53,mind
54,smile
55,say
56,world
57,fit
58,believe
59,serene
60,careening
61,universe
62,axis
63,tilt
64,guiltless
65,free
66,hope
67,take
68,piece
69,there's
70,things
71,i'd
72,like
73,believe
74,would
75,like
76,build
77,something
78,never
79,see
80,happen
81,stephan
82,jenkins
83,there's
84,burning
85,like
86,there's
87,always
88,never
89,alone
90,i've
91,never
92,alive
93,guitr
94,solo
95,kevin
96,cadogan
97,stephan
98,jenkins
99,there's
100,burning
101,burning
102,stephan
103,jenkins
104,where's
105,soul
106,want
107,know
108,new
109,york
110,city
111,evil
112,surface
113,everything
114,could
115,never
116,someone
117,would
118,see
119,last
120,time
121,we'll
122,friends
123,i'll
124,get
125,wonder
126,stephan
127,jenkins
128,there's
129,burning
130,like
131,there's
132,always
133,never
134,alone
135,i've
136,never
137,alive
138,stephan
139,jenkins
140,go
141,home
142,coast
143,starts
144,rain
145,paddle
146,water
147,alone
148,taste
149,salt
150,taste
151,pain
152,i'm
153,thinking
154,summer
155,dies
156,swells
157,rise
158,sun
159,goes
160,eyes
161,see
162,rolling
163,wave
164,darkly
165,coming
166,take
167,home
168,stephan
169,jenkins
170,i've
171,never
172,alone
173,i've
174,never
175,alive
