,Falling for You_Weezer
0,어는
1,회사작품이지요
2,holy
3,cow
4,think
5,i've
6,got
7,one
8,supposed
9,i've
10,got
11,number
12,irrational
13,fears
14,i'd
15,like
16,share
17,first
18,there's
19,rules
20,old
21,goats
22,like
23,hanging
24,'round
25,chicks
26,like
27,like
28,another
29,one
30,say
31,'like'
32,much
33,i'm
34,shaking
35,touch
36,like
37,way
38,much
39,baby
40,i'm
41,afraid
42,i'm
43,falling
44,i'd
45,'bout
46,anything
47,get
48,hell
49,alive
50,maybe
51,would
52,rather
53,settle
54,oh
55,holy
56,moly
57,baby
58,know
59,busting
60,loose
61,gotta
62,go
63,turn
64,rock
65,star
66,card
67,get
68,fat
69,old
70,'cause
71,i'm
72,burning
73,candle
74,gentle
75,moth
76,teaching
77,lick
78,little
79,bit
80,kinder
81,like
82,lucky
83,one
84,i'm
85,lucky
86,one
87,i'm
88,shaking
89,touch
90,like
91,way
92,much
93,baby
94,i'm
95,afraid
96,i'm
97,falling
98,i'd
99,'bout
100,anything
101,get
102,hell
103,alive
104,maybe
105,would
106,rather
107,settle
108,guitar
109,solo
110,holy
111,sweet
112,goddamn
113,left
114,cello
115,basement
116,admired
117,glowing
118,stars
119,tried
120,play
121,tune
122,can't
123,believe
124,bad
125,suck
126,true
127,could
128,possibly
129,see
130,little
131,ol'
132,three
133,chord
134,like
135,like
136,i'm
137,ready
138,let's
139,baby
140,i'm
141,shaking
142,touch
143,like
144,way
145,much
146,baby
147,i'm
148,afraid
149,i'm
150,falling
151,i'd
152,'bout
153,anything
154,get
155,hell
156,alive
157,maybe
158,would
159,rather
160,settle
161,oh
