,I Know You Care_Ellie Goulding
0,clinging
1,like
2,last
3,breath
4,would
5,breathe
6,like
7,home
8,recognize
9,street
10,please
11,close
12,eyes
13,know
14,look
15,without
16,outside
17,cars
18,speed
19,i'd
20,never
21,heard
22,know
23,care
24,know
25,always
26,there's
27,trouble
28,ahead
29,feel
30,saving
31,hide
32,yeah
33,know
34,care
35,see
36,way
37,stare
38,trouble
39,ahead
40,knew
41,i'll
42,saving
43,ruin
44,know
45,care
46,used
47,run
48,stairs
49,door
50,thought
51,shape
52,comfort
53,us
54,two
55,lovers
56,locked
57,love
58,oh
59,know
60,care
61,know
62,always
63,there's
64,trouble
65,ahead
66,feel
67,saving
68,hide
69,yeah
70,know
71,care
72,see
73,way
74,stare
75,trouble
76,ahead
77,knew
78,i'll
79,saving
80,ruin
81,know
82,always
83,wrong
84,i've
85,never
86,known
87,winter
88,cold
89,warm
90,hands
91,coat
92,still
93,hope
94,'cause
95,things
96,ought
97,know
98,worst
99,seemed
100,can't
101,dream
102,can't
103,dream
104,know
105,care
106,know
107,care
108,know
109,care
110,know
111,care
112,know
113,always
