,The One I Love_R.E.M.
0,instrumental
1,one
2,goes
3,one
4,love
5,one
6,goes
7,one
8,i've
9,left
10,behind
11,simple
12,prop
13,occupy
14,time
15,one
16,goes
17,one
18,love
19,fire
20,fire
21,one
22,goes
23,one
24,love
25,one
26,goes
27,one
28,i've
29,left
30,behind
31,simple
32,prop
33,occupy
34,time
35,one
36,goes
37,one
38,love
39,love
40,fire
41,comin'
42,fire
43,comin'
44,solo
45,one
46,goes
47,one
48,love
49,love
50,one
51,goes
52,one
53,i've
54,left
55,behind
56,another
57,prop
58,occupied
59,time
60,one
61,goes
62,one
63,love
64,love
65,fire
66,comin'
67,fire
68,comin'
69,fire
70,comin'
71,fire
72,comin'
