,Still into You_Paramore
0,can't
1,count
2,years
3,one
4,hand
5,we've
6,together
7,need
8,one
9,hold
10,make
11,feel
12,make
13,feel
14,better
15,walk
16,park
17,love
18,fingers
19,interlock
20,can't
21,deny
22,can't
23,deny
24,worth
25,prechorus
26,cause
27,time
28,i'm
29,still
30,butterflies
31,i'm
32,i'm
33,baby
34,even
35,worst
36,nights
37,i'm
38,i'm
39,let
40,'em
41,wonder
42,got
43,far
44,cause
45,really
46,need
47,wonder
48,yeah
49,time
50,i'm
51,still
52,recount
53,night
54,first
55,met
56,mother
57,drive
58,back
59,house
60,told
61,told
62,loved
63,ya
64,felt
65,weight
66,world
67,fall
68,shoulder
69,favorite
70,song
71,sang
72,along
73,start
74,forever
75,prechorus
76,time
77,i'm
78,still
79,butterflies
80,i'm
81,i'm
82,baby
83,even
84,worst
85,nights
86,i'm
87,i'm
88,let
89,'em
90,wonder
91,got
92,far
93,cause
94,really
95,need
96,wonder
97,yeah
98,time
99,i'm
100,still
101,things
102,things
103,make
104,sense
105,one
106,things
107,things
108,make
109,sense
110,even
111,time
112,i'm
113,baby
114,day
115,goes
116,i'm
117,butterflies
118,i'm
119,i'm
120,baby
121,even
122,worst
123,nights
124,i'm
125,i'm
126,let
127,'em
128,wonder
129,got
130,far
131,cause
132,really
133,need
134,wonder
135,yeah
136,time
137,i'm
138,still
139,i'm
140,still
141,i'm
142,still
