,Say Something Loving_The xx
0,alessi
1,brothers
2,slips
3,away
4,oliver
5,sim
6,romy
7,madley
8,croft
9,say
10,something
11,loving
12,remember
13,thrill
14,affection
15,remember
16,say
17,something
18,loving
19,need
20,reminder
21,feeling's
22,escaped
23,romy
24,madley
25,croft
26,went
27,looking
28,could
29,anyone's
30,kiss
31,throwing
32,arms
33,one
34,gave
35,found
36,love
37,oliver
38,sim
39,thought
40,flows
41,mind
42,growing
43,time
44,disservice
45,feel
46,weak
47,nervous
48,oliver
49,sim
50,romy
51,madley
52,croft
53,say
54,something
55,loving
56,overwhelming
57,thrill
58,affection
59,feels
60,unfamiliar
61,say
62,something
63,loving
64,without
65,hesitation
66,hits
67,hits
68,feels
69,unfamiliar
70,postchorus
71,alessi
72,brothers
73,slips
74,away
75,romy
76,madley
77,croft
78,touch
79,stays
80,skin
81,feel
82,start
83,sinking
84,come
85,insecurities
86,almost
87,expect
88,leave
89,oliver
90,sim
91,really
92,looking
93,try
94,best
95,reassure
96,patient
97,meet
98,needy
99,eager
100,interlude
101,romy
102,madley
103,croft
104,oliver
105,sim
106,know
107,know
108,know
109,know
110,feel
111,wrong
112,know
113,know
114,know
115,know
116,feel
117,wrong
118,prechorus
119,oliver
120,sim
121,romy
122,madley
123,croft
124,hear
125,say
126,say
127,hear
128,say
129,oliver
130,sim
131,romy
132,madley
133,croft
134,say
135,something
136,loving
137,can't
138,hold
139,inside
140,thrill
141,affection
142,getting
143,stronger
144,say
145,something
146,loving
147,hesitations
148,fading
149,fading
150,feel
151,taking
152,oliver
153,sim
154,romy
155,madley
156,croft
157,alessi
158,brothers
159,slips
160,away
161,let
162,slip
163,away
164,slips
165,away
166,let
167,slip
168,away
