,Saving All My Love for You_Whitney Houston
0,stolen
1,moments
2,shared
3,got
4,family
5,need
6,though
7,try
8,resist
9,last
10,list
11,man's
12,gonna
13,i'm
14,saving
15,love
16,easy
17,living
18,alone
19,friends
20,try
21,tell
22,find
23,man
24,time
25,try
26,break
27,cry
28,'cause
29,i'd
30,rather
31,home
32,feeling
33,blue
34,i'm
35,saving
36,love
37,used
38,tell
39,we'd
40,run
41,away
42,together
43,love
44,gives
45,right
46,free
47,said
48,patient
49,wait
50,little
51,longer
52,that's
53,old
54,fantasy
55,i've
56,got
57,get
58,ready
59,minutes
60,gonna
61,get
62,old
63,feeling
64,walk
65,door
66,'cause
67,tonight
68,night
69,feeling
70,alright
71,we'll
72,making
73,love
74,whole
75,night
76,i'm
77,saving
78,love
79,yes
80,i'm
81,saving
82,love
83,yes
84,i'm
85,saving
86,love
87,woman
88,gonna
89,love
90,'cause
91,tonight
92,night
93,i'm
94,feeling
95,alright
96,we'll
97,making
98,love
99,whole
100,night
101,i'm
102,saving
103,love
104,yeah
105,i'm
106,saving
107,loving
108,yes
109,i'm
110,saving
111,love
