,Information Travels Faster_Death Cab for Cutie
0,intentionally
1,wrote
2,illegible
3,mess
4,wanted
5,write
6,letters
7,i'd
8,rather
9,lose
10,address
11,forget
12,we'd
13,ever
14,met
15,occur
16,sitting
17,station
18,blur
19,dancehall
20,hips
21,pretentious
22,quips
23,boxer's
24,bob
25,weave
26,here's
27,kicker
28,whole
29,shebang
30,debt
31,completely
32,fooled
33,look
34,mirror
35,objectively
36,rank
37,wounds
38,sewing
39,circles
40,solely
41,based
42,trades
43,cloth
44,there's
45,spinsters
46,around
47,taking
48,notes
49,reporting
50,us
51,x2
52,information
53,travels
54,faster
55,modern
56,age
57,modern
58,age
59,days
60,crawling
61,slowly
62,information
63,travels
64,faster
65,modern
66,age
67,modern
68,age
69,days
70,crawling
71,slowly
