,Lua_Bright Eyes
0,know
1,freezing
2,think
3,walk
4,keep
5,waving
6,taxis
7,keep
8,turning
9,lights
10,julie
11,knows
12,party
13,actor's
14,west
15,side
16,loft
17,supplies
18,endless
19,evening
20,morning
21,they'll
22,gone
23,everything
24,lonely
25,best
26,friend
27,get
28,coffee
29,paper
30,conversations
31,sidewalk
32,pigeons
33,window
34,reflection
35,mask
36,polish
37,evening
38,morning
39,looks
40,like
41,shit
42,know
43,heavy
44,heart
45,feel
46,kiss
47,many
48,men
49,stronger
50,thrown
51,backs
52,trying
53,lift
54,i'm
55,gamble
56,count
57,split
58,love
59,sell
60,evening
61,morning
62,exist
63,looking
64,skinny
65,like
66,model
67,eyes
68,painted
69,black
70,keep
71,going
72,bathroom
73,say
74,right
75,back
76,well
77,takes
78,one
79,know
80,one
81,kid
82,think
83,got
84,bad
85,what's
86,easy
87,evening
88,morning
89,drag
90,got
91,flask
92,inside
93,pocket
94,share
95,train
96,promise
97,stay
98,conscious
99,i'll
100,try
101,well
102,might
103,die
104,medication
105,sure
106,killed
107,pain
108,normal
109,evening
110,morning
111,seems
112,insane
113,i'm
114,sure
115,trouble
116,started
117,reasons
118,run
119,away
120,feeling
121,never
122,something
123,would
124,recommend
125,one
126,way
127,live
128,cause
129,simple
130,moonlight
131,morning
132,never
133,simple
134,moonlight
135,complicated
136,simple
137,moonlight
138,simple
139,moonlight
140,simple
141,moonlight
