,Passionfruit_Drake
0,moodymann
1,hold
2,hold
3,fuck
4,fuck
5,shit
6,hold
7,got
8,start
9,mothafuckin'
10,record
11,wait
12,minute
13,fuck
14,shit
15,still
16,mothafuckin’
17,record
18,i'ma
19,play
20,mothafucka
21,y'all
22,ayy
23,y’all
24,get
25,drinks
26,goin'
27,i'll
28,sound
29,whole
30,lot
31,better
32,listen
33,seein'
34,got
35,ritualistic
36,cleansin'
37,soul
38,addiction
39,'cause
40,i'm
41,fallin'
42,apart
43,yeah
44,tension
45,us
46,like
47,picket
48,fences
49,got
50,issues
51,won’t
52,mention
53,’cause
54,we're
55,fallin’
56,apart
57,passionate
58,miles
59,away
60,passive
61,things
62,say
63,passin'
64,old
65,ways
66,can't
67,blame
68,passionate
69,miles
70,away
71,passive
72,things
73,say
74,passin'
75,old
76,ways
77,can’t
78,blame
79,listen
80,harder
81,buildin'
82,trust
83,distance
84,think
85,rule
86,commitment
87,'cause
88,we're
89,fallin'
90,apart
91,leavin'
92,get
93,even
94,pick
95,pieces
96,leave
97,keep
98,fallin'
99,apart
100,passionate
101,miles
102,away
103,passive
104,things
105,say
106,passin'
107,old
108,ways
109,can't
110,blame
111,passionate
112,miles
113,away
114,passive
115,things
116,say
117,passin'
118,old
119,ways
120,can't
121,blame
122,zoë
123,kravitz
124,um
125,trying
126,think
127,right
128,thing
129,say
