,Let My Baby Stay_Mac DeMarco
0,made
1,love
2,working
3,half
4,life
5,i’ve
6,addict
7,prechorus
8,she’s
9,good
10,far
11,tell
12,she’s
13,happy
14,livin’
15,macky
16,please
17,don’t
18,take
19,love
20,away
21,let
22,baby
23,stay
24,let
25,baby
26,stay
27,please
28,don’t
29,take
30,love
31,away
32,let
33,baby
34,stay
35,let
36,baby
37,stay
38,would
39,feeling
40,lonely
41,separated
42,one
43,prechorus
44,what’s
45,left
46,say
47,far
48,tell
49,day
50,could
51,way
52,please
53,don’t
54,take
55,love
56,away
57,let
58,baby
59,stay
60,let
61,baby
62,stay
63,please
64,don’t
65,take
66,love
67,away
68,let
69,baby
70,stay
71,let
72,baby
73,stay
74,scat
75,singing
