,Prototype_OutKast
0,yeah
1,try
2,keep
3,away
4,socials
5,know
6,social
7,lies
8,move
9,anti
10,focus
11,vocalise
12,countdown
13,seek
14,beats
15,weak
16,know
17,hide
18,can't
19,choose
20,days
21,show
22,pride
23,it’s
24,fist
25,air
26,hold
27,mic
28,rather
29,outkast
30,prototype
31,can't
32,conform
33,filters
34,pose
35,hype
36,teeth
37,top
38,charts
39,thats
40,overbite
41,like
42,…too
43,many
44,celebrities
45,overnight
46,insta
47,careers
48,moments
49,sight
50,gassed
51,number
52,followers
53,move
54,like
55,poltergeist
56,pointless
57,pursuing
58,images
59,soul
60,ain't
61,right
62,can't
63,mix
64,energies
65,leviate
66,clear
67,enemies
68,stare
69,next
70,year
71,i’ll
72,better
73,swear
74,i'm
75,truth
76,could
77,never
78,dare
79,cause
80,level
81,vessel
82,boil
83,like
84,kettles
85,instrumentals
86,little
87,never
88,picked
89,pettles
90,patterned
91,rules
92,rebel
93,revel
94,bomb
95,jäger
96,red
97,bull
98,technique
99,immortal
100,still
101,never
102,dance
103,devil
104,settle
105,decimals
106,dependable
107,man
108,writing
109,don’t
110,need
111,pen
112,defeated
113,book
114,pedicure
115,…i
116,see
117,issues
118,address
119,like
120,pinafore
121,windoe's
122,opportunities
123,like
124,there’s
125,never
126,bin
127,door
128,easy
129,x3
130,flow
131,flow
132,flows
133,fro'z
134,chill
135,realness
136,kept
137,fro'z
138,tried
139,share
140,mic
141,fro'z
142,big
143,gyal
144,dem
145,flex
146,fro'z
147,x4
148,yeah
149,followed
150,pen
151,skills
152,lead
153,pencils
154,permanent
155,drive
156,stuck
157,rentals
158,know
159,black
160,queen
161,essential
162,don’t
163,chat
164,weakest
165,link
166,you’re
167,linked
168,checked
169,linkedin
170,where’s
171,credentials
172,cv
173,like
174,cov
175,residential
176,even
177,didn’t
178,live
179,b23
180,corrupt
181,still
182,don’t
183,want
184,free
185,see
186,downfall
187,locked
188,mental
189,can’t
190,support
191,violence
192,fed
193,can’t
194,support
195,standards
196,tempt
197,never
198,attempted
199,fit
200,spin
201,riddims
202,vent
203,cut
204,ties
205,questioning
206,make
207,moves
208,wise
209,enter
210,den
211,enter
212,dragons
213,flagging
214,fire
215,prepared
216,offended
217,heart
218,full
219,anger
220,mindful
221,zen
222,prechorus
223,can’t
224,take
225,heat
226,get
227,kitchen
228,can’t
229,take
230,cold
231,adapt
232,system
233,x4
234,flow
235,flow
236,flows
237,fro'z
238,chill
239,realness
240,kept
241,fro'z
242,tried
243,share
244,mic
245,fro'z
246,big
247,gyal
248,dem
249,flex
250,fro'z
251,x5
