,You Are the Sunshine of My Life_Stevie Wonder
0,jim
1,gilstrap
2,lani
3,groves
4,sunshine
5,life
6,that's
7,i'll
8,always
9,around
10,apple
11,eye
12,forever
13,stay
14,heart
15,stevie
16,wonder
17,feel
18,like
19,beginning
20,though
21,i've
22,loved
23,million
24,years
25,thought
26,love
27,ending
28,i'd
29,find
30,drowning
31,tears
32,stevie
33,wonder
34,sunshine
35,life
36,that's
37,i'll
38,always
39,around
40,apple
41,eye
42,forever
43,stay
44,heart
45,stevie
46,wonder
47,must
48,known
49,lonely
50,came
51,rescue
52,know
53,must
54,heaven
55,could
56,much
57,love
58,inside
59,stevie
60,wonder
61,sunshine
62,life
63,that's
64,i'll
65,always
66,around
67,apple
68,eye
69,forever
70,stay
71,heart
