,I Knew I Loved You_Savage Garden
0,maybe
1,intuition
2,things
3,question
4,like
5,eyes
6,see
7,future
8,instant
9,goes
10,think
11,i've
12,found
13,best
14,friend
15,prechorus
16,know
17,might
18,sound
19,little
20,crazy
21,believe
22,knew
23,loved
24,met
25,think
26,dreamed
27,life
28,knew
29,loved
30,met
31,waiting
32,life
33,there's
34,rhyme
35,reason
36,sense
37,completion
38,eyes
39,see
40,missing
41,pieces
42,i'm
43,searching
44,think
45,found
46,way
47,home
48,prechorus
49,know
50,might
51,sound
52,little
53,crazy
54,believe
55,knew
56,loved
57,met
58,think
59,dreamed
60,life
61,knew
62,loved
63,met
64,waiting
65,life
66,complete
67,found
68,knew
69,loved
70,met
71,think
72,dreamed
73,life
74,knew
75,loved
76,met
77,waiting
78,life
79,knew
80,loved
81,met
82,think
83,dreamed
84,life
85,knew
86,loved
87,met
88,waiting
89,life
