,Wildest Moments_Jessie Ware
0,bloodlines
1,come
2,together
3,every
4,time
5,two
6,wrongs
7,rights
8,lose
9,night
10,prechorus
11,outside
12,outside
13,everyone
14,must
15,wondering
16,try
17,try
18,baby
19,wildest
20,moments
21,could
22,greatest
23,could
24,greatest
25,maybe
26,wildest
27,moments
28,could
29,worst
30,baby
31,wildest
32,moments
33,could
34,greatest
35,could
36,greatest
37,maybe
38,wildest
39,moments
40,could
41,worst
42,wait
43,thunder
44,sky
45,wherever
46,there’s
47,smoke
48,there'll
49,soon
50,fire
51,could
52,bring
53,bad
54,luck
55,i’ve
56,looking
57,much
58,prechorus
59,outside
60,outside
61,everyone
62,must
63,wondering
64,try
65,try
66,baby
67,wildest
68,moments
69,could
70,greatest
71,could
72,greatest
73,maybe
74,wildest
75,moments
76,could
77,worst
78,baby
79,wildest
80,moments
81,could
82,greatest
83,could
84,greatest
85,maybe
86,wildest
87,moments
88,could
89,worst
90,middle
91,walk
92,walk
93,line
94,looking
95,back
96,miss
97,wildest
98,moments
99,thinking
100,ruined
101,wrecking
102,ball
103,prechorus
104,outside
105,outside
106,everyone
107,must
108,wondering
109,try
110,try
111,baby
112,wildest
113,moments
114,could
115,greatest
116,could
117,greatest
118,maybe
119,wildest
120,moments
121,could
122,worst
123,baby
124,wildest
125,moments
126,could
127,greatest
128,could
129,greatest
130,maybe
131,wildest
132,moments
133,could
134,worst
