,Hungover_Ke$ha
0,sun
1,rising
2,another
3,long
4,walk
5,back
6,home
7,back
8,home
9,there's
10,many
11,faces
12,one
13,need
14,know
15,need
16,know
17,dark
18,can't
19,fight
20,fake
21,'til
22,i'm
23,numb
24,bright
25,light
26,taste
27,tongue
28,party's
29,everybody's
30,gone
31,i'm
32,left
33,wonder
34,went
35,wrong
36,heart
37,broken
38,like
39,bottles
40,floor
41,really
42,matter
43,hungover
44,postchorus
45,ahahahah
46,ahahahoh
47,hungover
48,even
49,dirty
50,laundry
51,everything
52,smells
53,like
54,like
55,head
56,throbbing
57,every
58,song
59,tune
60,like
61,dark
62,fight
63,'til
64,disappears
65,daylight
66,taste
67,tears
68,party's
69,everybody's
70,gone
71,i'm
72,left
73,wonder
74,went
75,wrong
76,heart
77,broken
78,like
79,bottles
80,floor
81,really
82,matter
83,hungover
84,i've
85,got
86,looking
87,like
88,mess
89,standin
90,alone
91,end
92,try
93,pretend
94,put
95,fight
96,time
97,'cause
98,i'm
99,end
100,try
101,pretend
102,end
103,try
104,pretend
105,oh
106,ohoh
107,party's
108,everybody's
109,gone
110,i'm
111,left
112,wonder
113,went
114,wrong
115,heart
116,broken
117,like
118,bottles
119,floor
120,really
121,matter
122,hungover
123,party's
124,everybody's
125,gone
126,i'm
127,left
128,wonder
129,went
130,wrong
131,heart
132,broken
133,like
134,bottles
135,floor
136,really
137,matter
138,hungover
139,postchorus
140,ahahahah
141,ahahahoh
142,hungover
