,Strawberry Swing_Coldplay
0,sitting
1,sitting
2,strawberry
3,swing
4,every
5,moment
6,precious
7,sitting
8,talking
9,strawberry
10,swing
11,everybody
12,fighting
13,wanna
14,waste
15,thing
16,cold
17,cold
18,water
19,bring
20,'round
21,feet
22,touch
23,ground
24,cold
25,cold
26,water
27,ya
28,say
29,perfect
30,day
31,perfect
32,day
33,remember
34,walking
35,strawberry
36,swing
37,can't
38,wait
39,'til
40,morning
41,wanna
42,change
43,thing
44,people
45,moving
46,time
47,inside
48,perfectly
49,straight
50,line
51,wanna
52,curve
53,away
54,perfect
55,day
56,perfect
57,day
58,instrumental
59,ah
60,sky
61,could
62,blue
63,mind
64,without
65,waste
66,time
67,could
68,blue
69,mind
70,without
71,waste
72,time
73,well
74,sky
75,could
76,blue
77,could
78,grey
79,without
80,i'm
81,miles
82,away
83,well
84,sky
85,could
86,blue
87,mind
88,without
89,waste
90,time
