,Luna_The Smashing Pumpkins
0,moonsongs
1,sing
2,babies
3,sunshine
4,bring
5,belongs
6,decides
7,who’s
8,crazy
9,rights
10,wrongs
11,others
12,cling
13,i’ll
14,sing
15,want
16,i’ll
17,give
18,it’s
19,chance
20,i’ll
21,take
22,it’s
23,chance
24,i’ll
25,break
26,go
27,along
28,i’m
29,lazy
30,go
31,along
32,moonsongs
33,sing
34,babies
35,songs
36,see
37,i’ll
38,hear
39,song
40,want
41,i’ll
42,sing
43,along
44,it’s
45,chance
46,i’ll
47,take
48,it’s
49,chance
50,i’ll
51,break
52,i’m
53,love
54,i’m
55,love
56,i’m
57,love
58,i’m
59,love
60,love
61,i’m
62,love
63,i’m
64,love
65,i’m
66,love
67,love
68,i’m
69,love
70,i’m
71,love
72,i’m
73,love
