,You're a God_Vertical Horizon
0,i've
1,got
2,honest
3,think
4,know
5,we're
6,covered
7,lies
8,that's
9,okay
10,there's
11,somewhere
12,beyond
13,know
14,hope
15,find
16,words
17,say
18,never
19,never
20,'cause
21,god
22,thought
23,would
24,know
25,god
26,thought
27,i'd
28,let
29,go
30,though
31,i've
32,unable
33,put
34,i'm
35,still
36,learnin'
37,things
38,ought
39,know
40,table
41,need
42,somethin'
43,show
44,somehow
45,never
46,never
47,'cause
48,god
49,thought
50,would
51,know
52,god
53,thought
54,i'd
55,let
56,go
57,i've
58,got
59,honest
60,think
61,know
62,we're
63,covered
64,lies
65,that's
66,okay
67,there's
68,somewhere
69,beyond
70,thisi
71,know
72,hope
73,find
74,words
75,say
76,never
77,never
78,'cause
79,god
80,thought
81,would
82,know
83,god
84,thought
85,i'd
86,let
87,go
88,god
89,oh
90,thought
91,would
92,know
93,oh
94,thought
95,would
96,know
97,god
98,oh
99,thought
100,i'd
101,let
102,go
