,I'm Happy Just to Dance with You_The Beatles
0,dance
1,think
2,i'll
3,love
4,i'm
5,happy
6,dance
7,want
8,kiss
9,hold
10,hand
11,funny
12,try
13,understand
14,really
15,nothing
16,else
17,i'd
18,rather
19,'cause
20,i'm
21,happy
22,dance
23,need
24,hug
25,hold
26,tight
27,want
28,dance
29,night
30,world
31,there's
32,nothing
33,would
34,rather
35,'cause
36,i'm
37,happy
38,dance
39,dance
40,everything
41,need
42,dance
43,think
44,i'll
45,love
46,i'm
47,happy
48,dance
49,somebody
50,tries
51,take
52,place
53,let's
54,pretend
55,can't
56,see
57,face
58,world
59,there's
60,nothing
61,would
62,rather
63,'cause
64,i'm
65,happy
66,dance
67,dance
68,everything
69,need
70,dance
71,think
72,i'll
73,love
74,i'm
75,happy
76,dance
77,somebody
78,tries
79,take
80,place
81,let's
82,pretend
83,can't
84,see
85,face
86,world
87,there's
88,nothing
89,would
90,rather
91,i've
92,discovered
93,i'm
94,love
95,'cause
96,i'm
97,happy
98,dance
