,Higher Love_James Vincent McMorrow
0,think
1,must
2,higher
3,love
4,heart
5,stars
6,without
7,life
8,wasted
9,time
10,look
11,inside
12,heart
13,i'll
14,look
15,inside
16,mine
17,prehook
18,things
19,look
20,bad
21,everywhere
22,whole
23,world
24,what's
25,fair
26,walk
27,blind
28,try
29,see
30,falling
31,behind
32,could
33,bring
34,higher
35,love
36,bring
37,higher
38,love
39,bring
40,higher
41,love
42,where's
43,higher
44,love
45,i've
46,thinking
47,worlds
48,turning
49,we're
50,hanging
51,facing
52,fear
53,standing
54,alone
55,oh
56,yearning
57,real
58,must
59,someone
60,who's
61,feeling
62,prehook
63,things
64,look
65,bad
66,everywhere
67,whole
68,world
69,what's
70,fair
71,walk
72,blind
73,try
74,see
75,falling
76,behind
77,could
78,bring
79,higher
80,love
81,bring
82,higher
83,love
84,bring
85,higher
86,love
87,where's
88,higher
89,love
90,i've
91,thinking
92,wait
93,i'm
94,late
95,i'll
96,sing
97,song
98,cheer
99,night
100,along
101,could
102,light
103,night
104,soul
105,fire
106,could
107,make
108,sun
109,shine
110,pure
111,desire
112,let
113,feel
114,love
115,come
116,let
117,feel
118,strong
119,bring
120,higher
121,love
122,bring
123,higher
124,love
125,oh
126,bring
127,higher
128,love
129,could
130,rise
131,higher
132,love
