,A Thousand Years_Christina Perri
0,heart
1,beats
2,fast
3,colors
4,promises
5,brave
6,love
7,i'm
8,afraid
9,fall
10,watching
11,stand
12,alone
13,doubt
14,suddenly
15,goes
16,away
17,somehow
18,one
19,step
20,closer
21,died
22,every
23,day
24,waiting
25,darling
26,afraid
27,loved
28,thousand
29,years
30,i'll
31,love
32,thousand
33,time
34,stands
35,still
36,beauty
37,brave
38,let
39,anything
40,take
41,away
42,what's
43,standing
44,front
45,every
46,breath
47,every
48,hour
49,come
50,one
51,step
52,closer
53,died
54,every
55,day
56,waiting
57,darling
58,afraid
59,loved
60,thousand
61,years
62,i'll
63,love
64,thousand
65,along
66,believed
67,would
68,find
69,time
70,brought
71,heart
72,loved
73,thousand
74,years
75,i'll
76,love
77,thousand
78,one
79,step
80,closer
81,one
82,step
83,closer
84,died
85,every
86,day
87,waiting
88,darling
89,afraid
90,loved
91,thousand
92,years
93,i'll
94,love
95,thousand
96,along
97,believed
98,would
99,find
100,time
101,brought
102,heart
103,loved
104,thousand
105,years
106,i'll
107,love
108,thousand
