,Firestone_Kygo
0,conrad
1,sewell
2,i'm
3,flame
4,fire
5,i'm
6,dark
7,need
8,light
9,touch
10,inspire
11,feel
12,changin'
13,tonight
14,take
15,take
16,higher
17,there's
18,world
19,far
20,dance
21,desire
22,burn
23,love
24,tonight
25,conrad
26,sewell
27,hearts
28,like
29,firestones
30,strike
31,feel
32,love
33,sparks
34,fly
35,ignite
36,bones
37,strike
38,light
39,world
40,conrad
41,sewell
42,hearts
43,like
44,firestones
45,strike
46,feel
47,love
48,sparks
49,fly
50,ignite
51,bones
52,strike
53,light
54,world
55,light
56,world
57,drop
58,conrad
59,sewell
60,light
61,world
62,whoa
63,oh
64,world
65,whoa
66,oh
67,firestone
68,conrad
69,sewell
70,i'm
71,x
72,perfect
73,strangers
74,night
75,come
76,together
77,world
78,we'll
79,testify
80,conrad
81,sewell
82,hearts
83,like
84,firestones
85,strike
86,feel
87,love
88,sparks
89,fly
90,ignite
91,bones
92,strike
93,light
94,world
95,conrad
96,sewell
97,hearts
98,like
99,firestones
100,strike
101,feel
102,love
103,sparks
104,fly
105,ignite
106,bones
107,strike
108,light
109,world
110,drop
111,conrad
112,sewell
113,light
114,world
115,light
116,word
117,whoa
118,oh
119,world
120,whoa
121,oh
122,firestone
