,It's Not Up to You_Björk
0,wake
1,day
2,feels
3,broken
4,tilt
5,head
6,i'm
7,trying
8,get
9,angle
10,'cause
11,evening
12,i've
13,always
14,longed
15,could
16,still
17,happen
18,prechorus
19,master
20,perfect
21,day
22,six
23,glasses
24,water
25,seven
26,phone
27,calls
28,leave
29,alone
30,might
31,happen
32,anyway
33,oh
34,never
35,really
36,oh
37,never
38,really
39,well
40,never
41,really
42,wake
43,day
44,feels
45,abroken
46,lean
47,crack
48,lean
49,crack
50,tremble
51,ever
52,nicely
53,notice
54,sparkles
55,prechorus
56,decide
57,give
58,get
59,given
60,unthinkable
61,surprises
62,happen
63,well
64,never
65,really
66,oh
67,never
68,really
69,oh
70,never
71,really
72,oh
73,share
74,oh
75,never
76,really
77,well
78,never
79,really
80,there's
81,much
82,clinging
83,peak
84,there's
85,much
86,pressure
