,Set Fire to the Rain_Adele
0,produced
1,fraser
2,smith
3,let
4,fall
5,heart
6,fell
7,rose
8,claim
9,dark
10,kissed
11,lips
12,saved
13,hands
14,strong
15,knees
16,far
17,weak
18,stand
19,arms
20,without
21,falling
22,feet
23,prechorus
24,there's
25,side
26,never
27,knew
28,never
29,knew
30,things
31,say
32,never
33,true
34,never
35,true
36,games
37,play
38,would
39,always
40,win
41,always
42,win
43,set
44,fire
45,rain
46,watched
47,pour
48,touched
49,face
50,well
51,burned
52,cried
53,'cause
54,heard
55,screaming
56,name
57,name
58,lay
59,could
60,stay
61,close
62,eyes
63,feel
64,forever
65,together
66,nothing
67,better
68,prechorus
69,'cause
70,there's
71,side
72,never
73,knew
74,never
75,knew
76,things
77,say
78,never
79,true
80,never
81,true
82,games
83,play
84,would
85,always
86,win
87,always
88,win
89,set
90,fire
91,rain
92,watched
93,pour
94,touched
95,face
96,well
97,burned
98,cried
99,'cause
100,heard
101,screaming
102,name
103,name
104,set
105,fire
106,rain
107,threw
108,us
109,flames
110,fell
111,something
112,died
113,'cause
114,knew
115,last
116,time
117,last
118,time
119,sometimes
120,wake
121,door
122,heart
123,caught
124,must
125,waiting
126,even
127,we're
128,already
129,can't
130,help
131,looking
132,set
133,fire
134,rain
135,watched
136,pour
137,touched
138,face
139,well
140,burned
141,cried
142,'cause
143,heard
144,screaming
145,name
146,name
147,set
148,fire
149,rain
150,threw
151,us
152,flames
153,fell
154,something
155,died
156,'cause
157,knew
158,last
159,time
160,last
161,time
162,oh
163,oh
164,let
165,burn
166,oh
167,oh
168,oh
169,let
170,burn
171,let
172,burn
