,The Longest Time_Billy Joel
0,whoa
1,oh
2,oh
3,oh
4,longest
5,longest
6,time
7,whoa
8,oh
9,oh
10,longest
11,longest
12,time
13,said
14,goodbye
15,tonight
16,would
17,still
18,music
19,left
20,write
21,else
22,could
23,i'm
24,inspired
25,happened
26,longest
27,time
28,thought
29,innocence
30,gone
31,know
32,happiness
33,goes
34,that's
35,found
36,put
37,arms
38,around
39,longest
40,time
41,whoa
42,oh
43,oh
44,oh
45,longest
46,longest
47,time
48,whoa
49,oh
50,oh
51,longest
52,longest
53,time
54,i'm
55,voice
56,hearing
57,hall
58,greatest
59,miracle
60,need
61,needed
62,happened
63,longest
64,time
65,maybe
66,last
67,long
68,feel
69,right
70,could
71,wrong
72,maybe
73,i've
74,hoping
75,hard
76,i've
77,gone
78,far
79,hoped
80,knows
81,much
82,we'll
83,go
84,maybe
85,i'll
86,sorry
87,gone
88,i'll
89,take
90,chances
91,forgot
92,nice
93,romance
94,longest
95,time
96,second
97,thoughts
98,start
99,said
100,hold
101,heart
102,know
103,woman
104,wonderful
105,far
106,hoped
107,care
108,consequence
109,brings
110,fool
111,lesser
112,things
113,want
114,bad
115,think
116,ought
117,know
118,intend
119,hold
120,longest
121,time
122,whoa
123,oh
124,oh
125,oh
126,longest
127,longest
128,time
129,whoa
130,oh
131,oh
132,longest
133,longest
134,time
135,whoa
136,oh
137,oh
138,longest
139,longest
140,time
141,whoa
142,oh
143,oh
144,longest
145,longest
146,time
