,I Just Don't Think I'll Ever Get Over You_Colin Hay
0,drink
1,good
2,coffee
3,every
4,morning
5,comes
6,place
7,that's
8,far
9,away
10,i'm
11,done
12,feel
13,like
14,talking
15,without
16,less
17,say
18,want
19,thinking
20,i'm
21,unhappy
22,closer
23,truth
24,lived
25,'till
26,hundred
27,two
28,think
29,i'll
30,ever
31,get
32,i'm
33,longer
34,moved
35,drink
36,strong
37,whiskey
38,shook
39,hand
40,time
41,knew
42,lived
43,'till
44,could
45,longer
46,climb
47,stairs
48,think
49,i'll
50,ever
51,get
52,face
53,dances
54,haunts
55,laughter
56,still
57,ringing
58,ears
59,still
60,find
61,pieces
62,presence
63,even
64,years
65,want
66,thinking
67,get
68,asked
69,dinner
70,cause
71,i'm
72,say
73,sometimes
74,even
75,though
76,may
77,seem
78,feel
79,touch
80,love
81,think
82,i'll
83,ever
84,get
85,live
86,'till
87,hundred
88,two
89,think
90,i'll
91,ever
92,get
