,No. 1 Party Anthem_Arctic Monkeys
0,prowl
1,wondering
2,whether
3,left
4,already
5,leather
6,jacket
7,collar
8,popped
9,like
10,antenna
11,never
12,knowing
13,stop
14,sunglasses
15,indoors
16,par
17,course
18,lights
19,floors
20,sweat
21,walls
22,cages
23,poles
24,call
25,search
26,soul
27,put
28,hold
29,sly
30,indoor
31,smoke
32,calls
33,folks
34,run
35,oldest
36,friends
37,sipping
38,drink
39,laughing
40,imaginary
41,jokes
42,signals
43,sent
44,eyes
45,invite
46,approach
47,seems
48,though
49,lumps
50,throat
51,swallowed
52,got
53,going
54,come
55,come
56,come
57,come
58,come
59,come
60,number
61,one
62,party
63,anthem
64,certified
65,mind
66,blower
67,knowing
68,full
69,well
70,may
71,suggest
72,there's
73,somewhere
74,might
75,know
76,get
77,ball
78,roll
79,drunken
80,monologues
81,confused
82,like
83,i'm
84,falling
85,love
86,want
87,ya
88,good
89,look
90,like
91,could
92,come
93,come
94,come
95,come
96,come
97,come
98,number
99,one
100,party
101,anthem
102,come
103,come
104,come
105,moment's
106,gone
107,number
108,one
109,party
110,anthem
111,yeah
112,yeah
113,look
114,love
115,rush
116,blood
117,mes
118,gallic
119,shrug
120,shutterbugs
121,camera
122,plus
123,black
124,white
125,color
126,dodge
127,good
128,time
129,girls
130,cubicles
131,house
132,fun
133,number
134,one
135,party
136,anthem
137,oh
138,come
139,come
140,come
141,come
142,come
143,come
144,come
145,come
146,come
147,come
148,come
149,come
150,moment's
151,gone
152,number
153,one
154,party
155,anthem
156,number
157,one
158,party
159,anthem
160,number
161,one
162,party
163,anthem
164,yeah
165,yeah
