,Absolute Beginners_David Bowie
0,i've
1,nothing
2,much
3,offer
4,there's
5,nothing
6,much
7,take
8,i'm
9,absolute
10,beginner
11,i'm
12,absolutely
13,sane
14,long
15,we're
16,together
17,rest
18,go
19,hell
20,absolutely
21,love
22,we're
23,absolute
24,beginners
25,eyes
26,completely
27,open
28,nervous
29,love
30,song
31,could
32,fly
33,mountains
34,could
35,laugh
36,ocean
37,like
38,films
39,there's
40,reason
41,feel
42,hard
43,times
44,lay
45,hard
46,lines
47,absolutely
48,true
49,nothing
50,much
51,could
52,happen
53,nothing
54,can't
55,shake
56,oh
57,we're
58,absolute
59,beginners
60,nothing
61,much
62,stake
63,long
64,still
65,smiling
66,there's
67,nothing
68,need
69,absolutely
70,love
71,we're
72,absolute
73,beginners
74,love
75,love
76,we're
77,certain
78,succeed
79,love
80,song
81,could
82,fly
83,mountains
84,sail
85,heartaches
86,like
87,films
88,there's
89,reason
90,feel
91,hard
92,times
93,lay
94,hard
95,lines
96,absolutely
97,true
