,Blue Ocean Floor_Justin Timberlake
0,frequencies
1,low
2,heart
3,string
4,string
5,plays
6,solos
7,rain
8,made
9,echoes
10,tidal
11,wave
12,rushing
13,prechorus
14,water
15,scream
16,loud
17,silence
18,surrounds
19,hear
20,loud
21,fall
22,deep
23,i'll
24,always
25,find
26,red
27,eyes
28,see
29,anymore
30,can't
31,hear
32,white
33,noise
34,send
35,heartbeat
36,i'll
37,go
38,blue
39,ocean
40,floor
41,find
42,us
43,blue
44,ocean
45,floor
46,blue
47,ocean
48,floor
49,blue
50,ocean
51,floor
52,blue
53,ocean
54,floor
55,blue
56,ocean
57,floor
58,shell
59,made
60,gold
61,found
62,beach
63,picked
64,held
65,close
66,rain
67,washed
68,glow
69,heartbeat
70,steadily
71,leads
72,prechorus
73,water
74,scream
75,loud
76,silence
77,surrounds
78,hear
79,loud
80,fall
81,deep
82,i'll
83,always
84,find
85,red
86,eyes
87,see
88,anymore
89,can't
90,hear
91,white
92,noise
93,send
94,heartbeat
95,i'll
96,go
97,blue
98,ocean
99,floor
100,find
101,us
102,blue
103,ocean
104,floor
105,blue
106,ocean
107,floor
108,blue
109,ocean
110,floor
111,blue
112,ocean
113,floor
114,blue
115,ocean
116,floor
117,20000
118,leagues
119,away
120,catch
121,day
122,travel
123,speed
124,light
125,thinking
126,thoughts
127,time
128,heartbeat
129,set
130,steady
131,pace
132,i’ll
133,let
134,rhythm
135,show
136,way
137,one
138,find
139,us
140,fade
141,disappear
142,red
143,eyes
144,see
145,anymore
146,can't
147,hear
148,white
149,noise
150,send
151,heartbeat
152,i'll
153,go
154,blue
155,ocean
156,floor
157,find
158,us
159,blue
160,ocean
161,floor
162,blue
163,ocean
164,floor
165,blue
166,ocean
167,floor
168,blue
169,ocean
170,floor
171,blue
172,ocean
173,floor
