,Tenerife Sea_Ed Sheeran
0,look
1,wonderful
2,dress
3,love
4,hair
5,like
6,way
7,falls
8,side
9,neck
10,shoulders
11,back
12,surrounded
13,lies
14,people
15,talk
16,much
17,got
18,kind
19,look
20,eyes
21,one
22,knows
23,anything
24,us
25,prechorus
26,last
27,thing
28,see
29,want
30,know
31,it’s
32,enough
33,cause
34,i’ll
35,ever
36,need
37,i'm
38,love
39,love
40,love
41,love
42,look
43,beautiful
44,light
45,silhouette
46,way
47,brings
48,blue
49,eyes
50,tenerife
51,sea
52,voices
53,surrounding
54,us
55,fade
56,take
57,breath
58,say
59,word
60,disappear
61,wilderness
62,prechorus
63,last
64,thing
65,see
66,want
67,know
68,it’s
69,enough
70,cause
71,i’ll
72,ever
73,need
74,i'm
75,love
76,love
77,love
78,love
79,lumiere
80,darling
81,lumiere
82,lumiere
83,darling
84,lumiere
85,lumiere
86,darling
87,lumiere
88,prechorus
89,last
90,thing
91,see
92,want
93,know
94,it’s
95,enough
96,cause
97,i’ll
98,ever
99,need
100,i'm
101,love
102,love
103,love
104,love
105,look
106,wonderful
107,dress
108,love
109,hair
110,like
111,moment
112,knew
113,beth
