,Abracadabra_Jessie J
0,wanna
1,reason
2,get
3,i'ma
4,let
5,leading
6,follow
7,see
8,usually
9,bringing
10,doubts
11,gone
12,away
13,touching
14,i'm
15,afraid
16,prechorus
17,know
18,ain't
19,going
20,away
21,stay
22,wanna
23,girl
24,girl
25,want
26,say
27,wanna
28,girl
29,yeah
30,yeah
31,yeah
32,yeah
33,'cause
34,got
35,heart
36,lock
37,unreal
38,know
39,want
40,stop
41,damn
42,keepable
43,feel
44,magic
45,touch
46,unbelievable
47,gotta
48,ya
49,like
50,abracadabra
51,got
52,heart
53,lock
54,unreal
55,know
56,want
57,stop
58,damn
59,keepable
60,feel
61,magic
62,touch
63,unbelievable
64,gotta
65,ya
66,like
67,abracadabra
68,even
69,see
70,coming
71,surprise
72,expecting
73,nothing
74,i'm
75,lit
76,inside
77,bringing
78,colours
79,black
80,white
81,race
82,got
83,gold
84,we're
85,good
86,go
87,prechorus
88,know
89,ain't
90,going
91,away
92,stay
93,wanna
94,girl
95,girl
96,want
97,say
98,wanna
99,girl
100,yeah
101,yeah
102,yeah
103,yeah
104,'cause
105,got
106,heart
107,lock
108,unreal
109,know
110,want
111,stop
112,damn
113,keepable
114,feel
115,magic
116,touch
117,unbelievable
118,gotta
119,ya
120,like
121,abracadabra
122,got
123,heart
124,lock
125,unreal
126,know
127,want
128,stop
129,damn
130,keepable
131,feel
132,magic
133,touch
134,unbelievable
135,gotta
136,ya
137,like
138,abracadabra
139,wanna
140,take
141,time
142,wanna
143,wait
144,line
145,want
146,side
147,come
148,gimme
149,like
150,wanna
151,take
152,time
153,wanna
154,wait
155,line
156,want
157,side
158,come
159,gimme
160,like
161,'cause
162,got
163,heart
164,lock
165,unreal
166,know
167,want
168,stop
169,damn
170,keepable
171,feel
172,magic
173,touch
174,unbelievable
175,gotta
176,ya
177,like
178,abracadabra
179,got
180,heart
181,lock
182,unreal
183,know
184,want
185,stop
186,damn
187,keepable
188,feel
189,magic
190,touch
191,unbelievable
192,gotta
193,ya
194,like
195,abracadabra
