,Flapper Girl_The Lumineers
0,cut
1,hair
2,flinch
3,care
4,look
5,stop
6,stare
7,brand
8,new
9,hair
10,local
11,boy
12,local
13,news
14,power
15,lines
16,hangin
17,boots
18,firemen
19,trucks
20,cut
21,loose
22,local
23,boy’s
24,shoes
25,cadillac
26,cadillac
27,businessmen
28,dressed
29,slacks
30,i’m
31,gonna
32,buy
33,one
34,us
35,get
36,back
37,big
38,cadillac
39,wave
40,friends
41,i’ll
42,never
43,leave
44,would
45,write
46,would
47,call
48,back
49,baby
50,wrote
51,song
52,gone
53,you’re
54,still
55,lady
56,need
57,home
58,romeo
59,juliet
60,balcony
61,silhouette
62,makin
63,os
64,cigarette
65,it’s
66,juliet
67,flapper
68,girl
69,flapper
70,girl
71,prohibition
72,curls
73,hair
74,gold
75,neck
76,pearls
77,it’s
78,flapper
79,girl
80,wave
81,friends
82,i’ll
83,never
84,leave
85,would
86,write
87,would
88,call
89,back
90,baby
91,wrote
92,song
93,gone
94,you’re
95,still
96,lady
97,need
98,home
99,interlude
100,cause
101,ain’t
102,behind
103,door
104,ain’t
105,got
106,home
107,anymore
108,would
109,write
110,would
111,call
112,back
113,baby
114,wrote
115,song
116,gone
117,you’re
118,still
119,lady
120,need
121,home
122,lovers
123,come
124,lovers
125,go
126,lovers
127,leave
128,alone
129,she’ll
130,come
131,back
