,A Song for the Lovers_Richard Ashcroft
0,spend
1,night
2,yeah
3,looking
4,insides
5,hotel
6,room
7,waiting
8,we're
9,gonna
10,make
11,tonight
12,yeah
13,something
14,air
15,tells
16,time
17,right
18,better
19,get
20,dj
21,play
22,song
23,lovers
24,tonight
25,please
26,play
27,song
28,lovers
29,tonight
30,wanna
31,wait
32,lord
33,i've
34,waiting
35,life
36,i'm
37,late
38,know
39,scared
40,can't
41,see
42,oh
43,i'm
44,moving
45,like
46,train
47,foreign
48,land
49,ain't
50,got
51,ticket
52,ride
53,oh
54,song
55,lovers
56,tonight
57,dj
58,play
59,song
60,lovers
61,tonight
62,dj
63,play
64,song
65,lovers
66,tonight
67,please
68,play
69,song
70,lovers
71,tonight
72,can't
73,stop
74,looking
75,back
76,oh
77,dj
78,play
79,song
80,lovers
81,tonight
82,one
83,lovers
84,please
85,play
86,song
87,lovers
88,tonight
89,one
90,lovers
91,van't
92,stop
93,looking
94,back
95,oh
96,oh
97,brother
98,lend
99,hand
100,i'm
101,alone
102,room
103,i'm
104,waiting
105,love
106,know
107,dreams
108,gonna
109,stop
110,tell
111,friend
112,wanna
113,get
114,please
115,play
116,song
117,lovers
118,tonight
119,oh
120,brother
121,lend
122,hand
123,i'm
124,alone
125,room
126,i'm
127,waiting
128,love
129,know
130,dreams
131,gonna
132,stop
133,tell
134,friend
135,wanna
136,get
