,Cosmic Love_Florence + the Machine
0,falling
1,star
2,fell
3,heart
4,landed
5,eyes
6,screamed
7,aloud
8,tore
9,left
10,blind
11,stars
12,moon
13,blown
14,left
15,dark
16,dawn
17,day
18,i'm
19,always
20,twilight
21,shadow
22,heart
23,dark
24,hear
25,heartbeat
26,tried
27,find
28,sound
29,stopped
30,till
31,darkness
32,darkness
33,became
34,stars
35,moon
36,blown
37,left
38,dark
39,dawn
40,day
41,i'm
42,always
43,twilight
44,shadow
45,heart
46,took
47,stars
48,eyes
49,made
50,map
51,knew
52,somehow
53,could
54,find
55,way
56,back
57,heard
58,heart
59,beating
60,darkness
61,stayed
62,darkness
63,stars
64,moon
65,blown
66,left
67,dark
68,dawn
69,day
70,i'm
71,always
72,twilight
73,shadow
74,heart
75,stars
76,moon
77,blown
78,left
79,dark
80,dawn
81,day
82,i'm
83,always
84,twilight
85,shadow
86,heart
