,Desire_Years & Years
0,must
1,tough
2,must
3,behave
4,must
5,keep
6,fighting
7,give
8,want
9,keep
10,us
11,compromising
12,open
13,arms
14,pray
15,truth
16,denying
17,give
18,game
19,sense
20,hiding
21,prechorus
22,taking
23,can't
24,blamed
25,want
26,want
27,desire
28,love
29,i'm
30,feeling
31,want
32,desire
33,'cause
34,love
35,gets
36,abused
37,give
38,rush
39,want
40,show
41,missing
42,enough
43,keep
44,lovers
45,hidden
46,prechorus
47,taking
48,can't
49,blamed
50,want
51,want
52,desire
53,love
54,i'm
55,feeling
56,want
57,desire
58,'cause
59,love
60,gets
61,abused
62,desire
63,desire
64,love
65,i'm
66,feeling
67,want
68,desire
69,wanna
70,see
71,willing
72,lose
73,know
74,got
75,locked
76,tell
77,want
78,need
79,know
80,got
81,locked
82,tell
83,want
84,desire
85,desire
86,love
87,i'm
88,feeling
89,want
90,desire
91,want
92,desire
93,'cause
94,love
95,gets
96,abused
97,desire
98,desire
99,love
100,i'm
101,feeling
102,i'm
103,feeling
104,want
105,desire
106,wanna
107,see
108,willing
109,lose
110,oh
111,willing
112,lose
