,Don't Speak_No Doubt
0,used
1,together
2,every
3,day
4,together
5,always
6,really
7,feel
8,i'm
9,losin'
10,best
11,friend
12,can't
13,believe
14,could
15,end
16,looks
17,though
18,lettin'
19,go
20,real
21,well
22,want
23,know
24,speak
25,know
26,sayin'
27,please
28,stop
29,explainin'
30,tell
31,'cause
32,hurts
33,speak
34,know
35,thinkin'
36,need
37,reasons
38,tell
39,'cause
40,hurts
41,memories
42,well
43,inviting
44,altogether
45,mighty
46,frightening
47,die
48,head
49,hands
50,sit
51,cry
52,speak
53,know
54,sayin'
55,please
56,stop
57,explainin'
58,tell
59,'cause
60,hurts
61,speak
62,know
63,thinkin'
64,need
65,reasons
66,tell
67,'cause
68,hurts
69,ending
70,gotta
71,stop
72,pretending
73,guitar
74,solo
75,see
76,us
77,dyin'
78,speak
79,know
80,sayin'
81,please
82,stop
83,explainin'
84,tell
85,'cause
86,hurts
87,speak
88,know
89,thinkin'
90,need
91,reasons
92,tell
93,'cause
94,hurts
95,tell
96,'cause
97,hurts
98,know
99,sayin'
100,please
101,stop
102,explainin'
103,speak
104,speak
105,speak
106,know
107,thinkin'
108,need
109,reasons
110,know
111,good
112,know
113,good
114,know
115,real
116,good
117,oh
118,la
119,la
120,la
121,la
122,la
123,la
124,ooh
125,ooh
126,hush
127,hush
128,darling
129,hush
130,hush
131,darling
132,hush
133,hush
134,tell
135,'cause
136,hurts
137,hush
138,hush
139,darling
140,hush
141,hush
142,darling
143,hush
144,hush
145,tell
146,'cause
147,hurts
148,oh
149,hush
150,hush
151,darling
152,hush
153,hush
154,darling
