,Good Love_Bat for Lashes
0,nighttime
1,found
2,misty
3,sorrow
4,swoop
5,unbound
6,whisper
7,mean
8,say
9,stay
10,hold
11,heart
12,till
13,brighter
14,days
15,searching
16,i'll
17,alone
18,queen
19,hearts
20,dancing
21,throne
22,need
23,sorrow
24,baby
25,like
26,sorrow
27,drug
28,ever
29,find
30,place
31,call
32,'good
33,love'
34,good
35,love
36,past
37,last
38,night
39,dream
40,good
41,love
42,heart
43,caught
44,fire
45,drove
46,past
47,true
48,love
49,dream
50,like
51,house
52,caught
53,fire
54,burned
55,flamed
56,magician
57,disappeared
58,quickly
59,came
60,sound
61,like
62,white
63,magic
64,caught
65,black
66,car's
67,blazing
68,trail
69,house
70,set
71,fire
72,heart
73,like
74,inferno
75,shone
76,raged
77,i'd
78,swallowed
79,sun
80,form
81,woke
82,crying
83,woke
84,saying
85,good
86,love
87,past
88,last
89,night
90,dream
91,'good
92,love'
93,cause
94,heart
95,caught
96,fire
97,went
98,flames
99,good
100,love
101,past
102,last
103,night
104,dream
105,'good
106,love'
107,cause
108,heart
109,caught
110,fire
111,went
112,flames
