,I Swear_All-4-One
0,swear
1,moon
2,stars
3,sky
4,swear
5,like
6,shadow
7,that's
8,side
9,see
10,questions
11,eyes
12,know
13,what's
14,weighing
15,mind
16,sure
17,know
18,part
19,cause
20,stand
21,beside
22,years
23,cry
24,happy
25,tears
26,though
27,make
28,mistakes
29,i'll
30,never
31,break
32,heart
33,swear
34,moon
35,stars
36,sky
37,i'll
38,swear
39,like
40,shadow
41,that's
42,side
43,i'll
44,better
45,worse
46,till
47,death
48,us
49,part
50,i'll
51,love
52,every
53,beat
54,heart
55,swear
56,oooh
57,i'll
58,give
59,everything
60,i'll
61,build
62,dreams
63,two
64,hands
65,we'll
66,hang
67,memories
68,walls
69,two
70,us
71,ask
72,still
73,care
74,cause
75,time
76,turns
77,page
78,love
79,age
80,swear
81,swear
82,moon
83,stars
84,sky
85,i'll
86,i'll
87,swear
88,swear
89,like
90,shadow
91,that's
92,side
93,i'll
94,i'll
95,better
96,worse
97,'til
98,death
99,us
100,part
101,i'll
102,love
103,every
104,beat
105,heart
106,swear
107,oh
108,yeah
109,swear
110,swear
111,moon
112,stars
113,sky
114,i'll
115,i'll
116,swear
117,like
118,shadow
119,that's
120,side
121,i'll
122,i'll
123,better
124,worse
125,better
126,worse
127,till
128,death
129,us
130,part
131,oh
132,i'll
133,love
134,every
135,single
136,beat
137,heart
138,swear
139,swear
140,oh
141,swear
