,Home_Phillip Phillips
0,hold
1,go
2,roll
3,unfamiliar
4,road
5,although
6,wave
7,wave
8,stringing
9,us
10,along
11,know
12,alone
13,cause
14,i'm
15,gonna
16,make
17,place
18,home
19,prehook
20,settle
21,it'll
22,clear
23,pay
24,mind
25,demons
26,fill
27,fear
28,trouble
29,might
30,drag
31,get
32,lost
33,always
34,found
35,know
36,alone
37,cause
38,i'm
39,gonna
40,make
41,place
42,home
43,ooooooooooooooo
44,oooooooo
45,ooooooooooooooo
46,aaaaaaaaaaaaaaa
47,aaaaaaaaaaaa
48,aaaaaaaaaaaaaaa
49,aaaaaaaaaaaaaaa
50,aaaaaaaaaaaa
51,aaaaaaaaaaaaaaa
52,aaaaaaaaaaaaaaa
53,prehook
54,settle
55,it'll
56,clear
57,pay
58,mind
59,demons
60,fill
61,fear
62,trouble
63,might
64,drag
65,get
66,lost
67,always
68,found
69,know
70,alone
71,cause
72,i'm
73,gonna
74,make
75,place
76,home
77,aaaaaaaaaaaaaaa
78,aaaaaaaaaaaa
79,aaaaaaaaaaaaaaa
80,aaaaaaaaaaaaaaa
81,aaaaaaaaaaaaaaa
82,aaaaaaaaaaaa
83,aaaaaaaaaaaaaaa
84,aaaaaaaaaaaaaaa
85,aaaaaaaaaaaaaaa
86,aaaaaaaaaaaa
87,aaaaaaaaaaaaaaa
