,Dancing with Tears in My Eyes_Ke$ha
0,go
1,welcome
2,funeral
3,without
4,even
5,pulse
6,alone
7,dark
8,cold
9,every
10,move
11,die
12,go
13,confessional
14,lost
15,cause
16,nobody
17,save
18,soul
19,delusional
20,every
21,move
22,die
23,prechorus
24,destroyed
25,love
26,gone
27,payback
28,sick
29,fault
30,i'm
31,dancing
32,tears
33,eyes
34,fighting
35,get
36,night
37,i'm
38,losing
39,every
40,move
41,die
42,i'm
43,faded
44,i'm
45,broken
46,inside
47,i've
48,wasted
49,love
50,life
51,i'm
52,losing
53,every
54,move
55,die
56,become
57,hypocrite
58,double
59,life
60,lies
61,caught
62,trust
63,i'm
64,paying
65,every
66,move
67,die
68,floor
69,i'm
70,zombie
71,wanna
72,i'm
73,tragedy
74,every
75,move
76,die
77,prechorus
78,destroyed
79,love
80,gone
81,payback
82,sick
83,fault
84,i'm
85,dancing
86,tears
87,eyes
88,fighting
89,get
90,night
91,i'm
92,losing
93,every
94,move
95,die
96,i'm
97,faded
98,i'm
99,broken
100,inside
101,i've
102,wasted
103,love
104,life
105,i'm
106,losing
107,every
108,move
109,die
110,really
111,gone
112,time
113,never
114,thought
115,i'd
116,pieces
117,left
118,behind
119,i'm
120,dancing
121,tears
122,eyes
123,fighting
124,get
125,night
126,i'm
127,losing
128,every
129,move
130,die
131,i'm
132,faded
133,i'm
134,broken
135,inside
136,i've
137,wasted
138,love
139,life
140,i'm
141,losing
142,every
143,move
144,die
