,Million Faces_Paolo Nutini
0,oh
1,phone
2,know
3,never
4,stops
5,last
6,thing
7,hear
8,night
9,first
10,thing
11,morning
12,let
13,start
14,burn
15,head
16,slowly
17,creep
18,bed
19,i'm
20,done
21,talking
22,say
23,know
24,i'm
25,feeling
26,need
27,try
28,settle
29,oh
30,million
31,faces
32,pass
33,way
34,oh
35,they're
36,nothing
37,seems
38,change
39,anytime
40,look
41,around
42,oh
43,knows
44,future
45,holds
46,want
47,know
48,tired
49,hell
50,falling
51,stairs
52,filled
53,thousand
54,cares
55,walk
56,bedroom
57,though
58,feels
59,like
60,fire
61,gone
62,girl
63,turn
64,can't
65,believe
66,much
67,want
68,say
69,know
70,i'm
71,feeling
72,need
73,try
74,settle
75,oh
76,million
77,faces
78,pass
79,way
80,oh
81,they're
82,nothing
83,seems
84,change
85,anytime
86,look
87,around
88,oh
89,knows
90,future
91,holds
92,want
93,know
94,we're
95,distracted
96,hard
97,times
98,troubles
99,make
100,let
101,us
102,throw
103,ocean
104,let
105,wash
106,cares
107,away
108,oh
109,phone
110,know
111,never
112,stops
113,last
114,thing
115,hear
116,night
117,first
118,thing
119,morning
120,oh
121,million
122,faces
123,pass
124,way
125,oh
126,they're
127,nothing
128,seems
129,change
130,anytime
131,look
132,around
133,oh
134,knows
135,future
136,holds
137,want
138,know
139,we're
140,distracted
141,hard
142,times
143,troubles
144,make
145,let
146,us
147,throw
148,ocean
149,let
150,wash
151,cares
152,away
153,let
154,wash
155,cares
