,Blue Skies_Noah and the Whale
0,song
1,anyone
2,broken
3,heart
4,song
5,anyone
6,can't
7,get
8,bed
9,prechorus
10,i'll
11,anything
12,happy
13,oh
14,'cause
15,blue
16,skies
17,coming
18,know
19,hard
20,last
21,song
22,write
23,still
24,love
25,last
26,song
27,write
28,even
29,mind
30,prechorus
31,cause
32,time
33,leave
34,feelings
35,behind
36,oh
37,'cause
38,blue
39,skies
40,coming
41,know
42,hard
43,think
44,end
45,know
46,can't
47,keep
48,going
49,think
50,end
51,know
52,can't
53,keep
54,going
55,blue
56,skies
57,coming
58,oh
59,yeah
60,blue
61,skies
62,coming
63,oh
64,blue
65,skies
66,coming
67,know
68,hard
