,Wicked Game_Chris Isaak
0,world
1,fire
2,one
3,could
4,save
5,strange
6,desire
7,make
8,foolish
9,people
10,never
11,dreamed
12,i'd
13,meet
14,somebody
15,like
16,never
17,dreamed
18,i'd
19,lose
20,somebody
21,like
22,wanna
23,fall
24,love
25,world
26,gonna
27,break
28,heart
29,wanna
30,fall
31,love
32,world
33,gonna
34,break
35,heart
36,world
37,gonna
38,break
39,heart
40,wicked
41,game
42,play
43,make
44,feel
45,way
46,wicked
47,thing
48,let
49,dream
50,wicked
51,thing
52,say
53,never
54,felt
55,way
56,wicked
57,thing
58,make
59,dream
60,wanna
61,fall
62,love
63,world
64,gonna
65,break
66,heart
67,wanna
68,fall
69,love
70,world
71,gonna
72,break
73,heart
74,interlude
75,world
76,fire
77,one
78,could
79,save
80,strange
81,desire
82,make
83,foolish
84,people
85,never
86,dreamed
87,i'd
88,love
89,somebody
90,like
91,never
92,dreamed
93,i'd
94,lose
95,somebody
96,like
97,wanna
98,fall
99,love
100,world
101,gonna
102,break
103,heart
104,wanna
105,fall
106,love
107,world
108,gonna
109,break
110,heart
111,world
112,gonna
113,break
114,heart
115,world
116,gonna
117,break
118,heart
119,world
120,gonna
121,break
122,heart
123,world
124,gonna
125,break
126,heart
127,nobody
128,loves
129,one
