,Supersymmetry_Arcade Fire
0,know
1,living
2,mind
3,alive
4,know
5,living
6,mind
7,alive
8,supersymmetry
9,supersymmetry
10,telling
11,truth
12,polite
13,guess
14,fight
15,telling
16,truth
17,polite
18,guess
19,we'll
20,fight
21,supersymmetry
22,supersymmetry
23,supersymmetry
24,supersymmetry
25,lived
26,year
27,bed
28,window
29,reading
30,books
31,better
32,memories
33,wanna
34,feel
35,seasons
36,passing
37,wanna
38,feel
39,spring
40,supersymmetry
41,supersymmetry
42,supersymmetry
43,supersymmetry
44,since
45,i've
46,see
47,know
48,heard
49,voice
50,like
51,echo
52,came
53,supersymmetry
54,supersymmetry
55,supersymmetry
56,supersymmetry
57,supersymmetry
58,supersymmetry
59,supersymmetry
60,ah
61,lalala
62,lala
63,ah
64,lalala
65,lala
66,ah
67,lalala
68,lala
69,ah
70,lalala
71,lala
72,supersymmetry
73,supersymmetry
