,Unfaithful_Rihanna
0,story
1,life
2,searching
3,right
4,keeps
5,avoiding
6,sorrow
7,soul
8,'cause
9,seems
10,wrong
11,really
12,loves
13,company
14,he's
15,man
16,love
17,reason
18,sky
19,blue
20,clouds
21,rolling
22,i'm
23,gone
24,can't
25,true
26,prechorus
27,know
28,knows
29,i'm
30,unfaithful
31,kills
32,inside
33,know
34,happy
35,guy
36,see
37,dying
38,wanna
39,anymore
40,wanna
41,reason
42,every
43,time
44,walk
45,door
46,see
47,die
48,little
49,inside
50,wanna
51,hurt
52,anymore
53,wanna
54,take
55,away
56,life
57,wanna
58,murderer
59,feel
60,air
61,i'm
62,doin'
63,hair
64,preparing
65,another
66,date
67,kiss
68,upon
69,cheek
70,reluctantly
71,asks
72,i'm
73,gonna
74,late
75,say
76,long
77,hanging
78,girls
79,lie
80,tell
81,know
82,i'm
83,go
84,know
85,well
86,prechorus
87,'cause
88,know
89,knows
90,i'm
91,unfaithful
92,kills
93,inside
94,know
95,happy
96,guy
97,see
98,dying
99,wanna
100,anymore
101,wanna
102,reason
103,every
104,time
105,walk
106,door
107,see
108,die
109,little
110,inside
111,wanna
112,hurt
113,anymore
114,wanna
115,take
116,away
117,life
118,wanna
119,murderer
120,love
121,trust
122,might
123,well
124,take
125,gun
126,put
127,head
128,get
129,wanna
130,anymore
131,whoa
132,anymore
133,wanna
134,anymore
135,wanna
136,reason
137,every
138,time
139,walk
140,door
141,see
142,die
143,little
144,inside
145,wanna
146,hurt
147,anymore
148,wanna
149,take
150,away
151,life
152,wanna
153,murderer
154,murderer
155,yeah
