,All Is Full of Love_Björk
0,given
1,love
2,taken
3,care
4,given
5,love
6,trust
7,maybe
8,sources
9,poured
10,maybe
11,directions
12,staring
13,twist
14,head
15,around
16,around
17,full
18,love
19,around
20,prechorus
21,full
22,love
23,ain't
24,receiving
25,full
26,love
27,phone
28,full
29,love
30,doors
31,shut
32,full
33,love
34,full
35,love
36,full
37,love
38,full
39,love
40,full
41,love
42,full
43,love
44,full
45,love
46,full
47,love
48,full
49,love
50,full
51,love
52,full
53,love
54,full
55,love
