,After Hours_The Velvet Underground
0,123
1,close
2,door
3,night
4,could
5,last
6,forever
7,leave
8,sunshine
9,say
10,hello
11,never
12,people
13,dancing
14,they're
15,fun
16,wish
17,could
18,happen
19,close
20,door
21,i'd
22,never
23,see
24,day
25,close
26,door
27,night
28,could
29,last
30,forever
31,leave
32,wineglass
33,drink
34,toast
35,never
36,oh
37,someday
38,know
39,someone
40,look
41,eyes
42,say
43,hello
44,special
45,one
46,close
47,door
48,i'd
49,never
50,see
51,day
52,dark
53,party
54,bars
55,shiny
56,cadillac
57,cars
58,people
59,subways
60,trains
61,looking
62,gray
63,rain
64,stand
65,disarrayed
66,oh
67,people
68,look
69,well
70,dark
71,close
72,door
73,night
74,could
75,last
76,forever
77,leave
78,sunshine
79,say
80,hello
81,never
82,people
83,dancing
84,they're
85,fun
86,wish
87,could
88,happen
89,cause
90,close
91,door
92,i'd
93,never
94,see
95,day
96,i'd
97,never
98,see
99,day
100,i'd
101,never
102,see
103,day
