,Always Somewhere_Scorpions
0,arrive
1,seven
2,place
3,feels
4,good
5,time
6,call
7,today
8,encores
9,'til
10,eleven
11,chinese
12,food
13,back
14,hotel
15,call
16,number
17,line
18,ain't
19,free
20,like
21,tell
22,come
23,night
24,without
25,seems
26,like
27,lost
28,dream
29,love
30,can't
31,tell
32,feel
33,refrain
34,always
35,somewhere
36,miss
37,i've
38,i'll
39,back
40,love
41,always
42,somewhere
43,miss
44,i've
45,i'll
46,back
47,love
48,another
49,morning
50,another
51,place
52,day
53,far
54,away
55,every
56,city
57,seen
58,end
59,brings
60,refrain
61,always
62,somewhere
63,miss
64,i've
65,i'll
66,back
67,love
68,always
69,somewhere
70,miss
71,i've
72,i'll
73,back
74,love
