,I've Got Friends_Manchester Orchestra
0,dirty
1,ground
2,need
3,got
4,another
5,one
6,tell
7,another
8,one
9,make
10,believe
11,pity
12,grass
13,tried
14,one
15,needed
16,told
17,wanted
18,something
19,bigger
20,i've
21,got
22,friends
23,right
24,places
25,know
26,want
27,know
28,want
29,stay
30,said
31,i've
32,got
33,friends
34,right
35,places
36,know
37,want
38,know
39,want
40,stay
41,'cause
42,ride
43,need
44,need
45,quickly
46,case
47,never
48,know
49,postchorus
50,can't
51,play
52,i'm
53,supposed
54,anyway
55,anyway
56,anyway
57,dirty
58,ground
59,see
60,need
61,another
62,reason
63,need
64,another
65,reason
66,tell
67,breathe
68,dirtier
69,sound
70,best
71,breathe
72,tried
73,anything
74,'cause
75,i've
76,got
77,friends
78,right
79,places
80,know
81,want
82,know
83,want
84,stay
85,i've
86,got
87,friends
88,right
89,places
90,know
91,want
92,know
93,want
94,stay
95,find
96,need
97,need
98,quickly
99,fact
100,never
101,know
102,oh
103,'cause
104,i've
105,got
106,friends
107,right
108,places
109,know
110,want
111,know
112,want
113,stay
114,said
115,i've
116,got
117,friends
118,right
119,places
120,know
121,want
122,know
123,want
124,stay
125,said
126,i've
127,got
128,friends
129,right
130,places
131,know
132,want
133,know
134,want
135,stay
136,stay
137,i've
138,got
139,friends
140,right
141,places
142,know
143,want
144,know
145,want
146,stay
147,stay
