,All the Right Moves_OneRepublic
0,right
1,friends
2,right
3,places
4,yeah
5,we're
6,going
7,they've
8,got
9,right
10,moves
11,right
12,faces
13,yeah
14,we're
15,going
16,let's
17,paint
18,picture
19,perfect
20,place
21,they've
22,got
23,better
24,anyone's
25,told
26,they'll
27,king
28,hearts
29,queen
30,spades
31,we'll
32,fight
33,like
34,soldiers
35,know
36,got
37,good
38,got
39,made
40,grass
41,getting
42,greener
43,day
44,know
45,things
46,looking
47,soon
48,they'll
49,take
50,us
51,anybody's
52,knowing
53,name
54,they've
55,got
56,right
57,friends
58,right
59,places
60,yeah
61,we're
62,going
63,they've
64,got
65,right
66,moves
67,right
68,faces
69,yeah
70,we're
71,going
72,say
73,everybody
74,knows
75,everybody
76,knows
77,we're
78,going
79,yeah
80,we're
81,going
82,say
83,everybody
84,knows
85,everybody
86,knows
87,we're
88,going
89,yeah
90,we're
91,going
92,think
93,i'm
94,special
95,think
96,i'm
97,nice
98,bright
99,enough
100,shine
101,spaces
102,noise
103,hear
104,sounds
105,like
106,sinking
107,ocean
108,faces
109,can't
110,possible
111,rain
112,fall
113,heads
114,sun
115,shining
116,everyday
117,far
118,away
119,world
120,that's
121,dead
122,they've
123,got
124,they've
125,got
126,right
127,friends
128,right
129,places
130,yeah
131,we're
132,going
133,they've
134,got
135,right
136,moves
137,right
138,faces
139,yeah
140,we're
141,going
142,say
143,everybody
144,knows
145,everybody
146,knows
147,we're
148,going
149,yeah
150,we're
151,going
152,say
153,everybody
154,knows
155,everybody
156,knows
157,we're
158,going
159,yeah
160,we're
161,going
162,matter
163,see
164,know
165,could
166,never
167,someone
168,look
169,like
170,matter
171,say
172,know
173,could
174,never
175,fake
176,someone
177,could
178,sound
179,like
180,right
181,friends
182,right
183,places
184,yeah
185,we're
186,going
187,they've
188,got
189,right
190,moves
191,right
192,faces
193,yeah
194,we're
195,going
196,right
197,friends
198,right
199,places
200,yeah
201,we're
202,going
203,they've
204,got
205,right
206,moves
207,right
208,faces
209,yeah
210,we're
211,going
212,say
213,everybody
214,knows
215,everybody
216,knows
217,we're
218,going
219,yeah
220,we're
221,going
222,say
223,everybody
224,knows
225,everybody
226,knows
227,we're
228,going
229,yeah
230,we're
231,going
232,yeah
233,we're
234,going
235,yeah
236,we're
237,going
238,right
239,moves
240,hey
241,yeah
242,we're
243,going
244,right
245,moves
246,hey
247,yeah
248,we're
249,going
