,One Thing_One Direction
0,liam
1,harry
2,i've
3,tried
4,playing
5,cool
6,i'm
7,looking
8,can't
9,ever
10,brave
11,'cause
12,make
13,heart
14,race
15,shot
16,sky
17,kryptonite
18,keep
19,making
20,weak
21,yeah
22,frozen
23,can't
24,breathe
25,prechorus
26,zayn
27,liam
28,something's
29,gotta
30,give
31,'cause
32,i'm
33,dying
34,make
35,see
36,need
37,'cause
38,got
39,one
40,thing
41,get
42,get
43,get
44,head
45,fall
46,arms
47,instead
48,know
49,need
50,one
51,thing
52,got
53,one
54,thing
55,niall
56,niall
57,zayn
58,i'm
59,climbing
60,walls
61,notice
62,i'm
63,going
64,mind
65,day
66,night
67,prechorus
68,louis
69,zayn
70,something's
71,gotta
72,give
73,'cause
74,i'm
75,dying
76,know
77,name
78,need
79,'cause
80,got
81,one
82,thing
83,harry
84,get
85,get
86,get
87,head
88,fall
89,arms
90,instead
91,know
92,need
93,one
94,thing
95,get
96,get
97,get
98,mind
99,come
100,come
101,life
102,know
103,need
104,one
105,thing
106,got
107,one
108,thing
109,whoa
110,whoa
111,whoa
112,got
113,one
114,thing
115,liam
116,get
117,get
118,get
119,head
120,fall
121,arms
122,instead
123,zayn
124,harry
125,get
126,get
127,get
128,head
129,get
130,get
131,get
132,head
133,fall
134,arms
135,instead
136,instead
137,know
138,need
139,one
140,thing
141,need
142,one
143,thing
144,get
145,get
146,get
147,mind
148,mind
149,come
150,come
151,life
152,know
153,need
154,one
155,thing
156,got
157,one
158,thing
