,I Got You_Jack Johnson
0,back
1,little
2,goals
3,seemed
4,important
5,every
6,pot
7,gold
8,feeling
9,full
10,distortion
11,heaven
12,place
13,still
14,space
15,motion
16,soon
17,got
18,got
19,everything
20,i’ve
21,got
22,don’t
23,need
24,nothing
25,got
26,everything
27,i’ve
28,got
29,went
30,walking
31,hills
32,trying
33,pretend
34,know
35,maybe
36,save
37,could
38,build
39,little
40,home
41,hailstorm
42,came
43,yelled
44,“you
45,need
46,let
47,go
48,got
49,control
50,got
51,got
52,everything
53,i’ve
54,got
55,don’t
56,need
57,nothing
58,got
59,everything
60,i’ve
61,got
62,weight’s
63,much
64,alone
65,days
66,can’t
67,hold
68,take
69,tomorrow’s
70,much
71,i’ll
72,carry
73,got
74,yea
75,tomorrow’s
76,much
77,i’ll
78,carry
79,got
80,got
81,got
82,everything
83,i’ve
84,got
85,don’t
86,need
87,nothing
88,got
89,everything
90,i’ve
91,got
